ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",760122,0.0001,0.4944,0.4855,0.0201,586399,0.5363,0.4637,0.2617,0.03,0.1513,0.0311,0.0076,
"2",760788,0.0009,0.7168,0.2622,0.0209,610632,0.3053,0.6947,0.4879,0.0741,0.1269,0.0315,0.0086,
"3",760115,0.0001,0.6537,0.3247,0.0216,619276,0.5423,0.4577,0.2016,0.0679,0.1716,0.0225,0.009,
"4",759457,-0.0008,0.4947,0.4857,0.0196,586022,0.4704,0.5296,0.2639,0.065,0.1849,0.0288,0.011,
"5",759690,-0.0005,0.4948,0.4856,0.0196,613352,0.4431,0.5569,0.211,0.0234,0.3063,0.0224,0.008,
"6",760268,0.0003,0.4964,0.4867,0.0169,573088,0.3494,0.6506,0.5178,0.0489,0.0717,0.0362,0.0058,
"7",758665,-0.0018,0.494,0.4887,0.0173,578869,0.4071,0.5929,0.4364,0.0724,0.0681,0.0389,0.0059,
"8",761950,0.0025,0.497,0.4841,0.0189,603740,0.3351,0.6649,0.3056,0.028,0.3226,0.0246,0.0061,
"9",758920,-0.0015,0.4954,0.4853,0.0193,581242,0.4044,0.5956,0.3961,0.0691,0.1141,0.0342,0.0109,
"10",759178,-0.0012,0.4947,0.4858,0.0194,592743,0.4099,0.5901,0.2983,0.0381,0.2424,0.0247,0.0059,
"11",759401,-0.0009,0.4956,0.4858,0.0186,612046,0.5625,0.4375,0.2126,0.0188,0.1895,0.0212,0.0056,
"12",761452,0.0018,0.7197,0.263,0.0172,557884,0.1811,0.8189,0.6442,0.1106,0.0582,0.0411,0.0056,
"13",757269,-0.0037,0.4943,0.4856,0.0201,568031,0.3815,0.6185,0.4128,0.1107,0.0771,0.0418,0.0079,
"14",757862,-0.0029,0.4948,0.4874,0.0178,558430,0.3327,0.6673,0.4579,0.116,0.0818,0.0396,0.0054,
"15",757448,-0.0034,0.4915,0.4887,0.0198,599127,0.3786,0.6214,0.2939,0.0617,0.2498,0.0355,0.0049,
"16",758529,-0.002,0.4938,0.4875,0.0187,591409,0.5351,0.4649,0.2558,0.0499,0.1438,0.0289,0.004,
"17",757897,-0.0029,0.4981,0.485,0.0169,529121,0.2486,0.7514,0.6216,0.049,0.0671,0.0402,0.003,
"18",757879,-0.0029,0.4947,0.4871,0.0182,567625,0.4025,0.5975,0.4483,0.0352,0.0985,0.0336,0.0044,
"19",757804,-0.003,0.4974,0.4823,0.0203,585529,0.5309,0.4691,0.3487,0.0235,0.0769,0.0382,0.005,
"20",762038,0.0026,0.7002,0.28,0.0198,580603,0.1339,0.8661,0.64,0.0684,0.1567,0.0391,0.0051,
"21",761496,0.0019,0.7405,0.2401,0.0193,591725,0.0777,0.9223,0.6791,0.0195,0.2252,0.0399,0.0028,
