ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770408,0.0015,0.2985,0.6756,0.0259,606734,0.7199,0.2801,0.0664,0.1376,0.0422,0.032,0.0038,
"2",772002,0.0036,0.2811,0.6965,0.0223,630325,0.792,0.208,0.07,0.0919,0.0185,0.0254,0.0018,
"3",768390,-0.0011,0.4892,0.4902,0.0206,626899,0.6296,0.3704,0.155,0.1577,0.042,0.0197,0.0017,
"4",769332,0.0001,0.4901,0.4896,0.0204,609940,0.5343,0.4657,0.103,0.2853,0.0634,0.0182,0.0029,
"5",766319,-0.0038,0.4937,0.4878,0.0185,604466,0.5767,0.4233,0.0812,0.2921,0.0349,0.0195,0.0019,
"6",770721,0.002,0.3108,0.6704,0.0188,603496,0.7729,0.2271,0.0787,0.0921,0.0334,0.0209,0.0023,
"7",769183,0,0.4879,0.4894,0.0227,627010,0.5929,0.4071,0.2403,0.1051,0.0532,0.0186,0.0022,
"8",769529,0.0004,0.4945,0.4852,0.0203,615612,0.5469,0.4531,0.226,0.1889,0.0277,0.022,0.0022,
"9",766815,-0.0031,0.4872,0.491,0.0218,593065,0.4802,0.5198,0.3201,0.1697,0.0274,0.0215,0.0022,
"10",766672,-0.0033,0.4914,0.4901,0.0185,629713,0.5056,0.4944,0.3216,0.1291,0.0395,0.0172,0.0024,
"11",769206,0,0.4877,0.49,0.0223,598899,0.5614,0.4386,0.2129,0.1499,0.0629,0.0186,0.0021,
"12",771131,0.0025,0.3872,0.5891,0.0237,616760,0.75,0.25,0.1322,0.0609,0.0377,0.0196,0.0017,
"13",771951,0.0036,0.4826,0.4925,0.0249,652570,0.7447,0.2553,0.1,0.0895,0.0451,0.0186,0.0018,
"14",768591,-0.0008,0.4859,0.4931,0.021,617689,0.6043,0.3957,0.2046,0.1499,0.0316,0.0173,0.0017,
"15",767197,-0.0026,0.4853,0.4918,0.0228,590209,0.5167,0.4833,0.2336,0.1808,0.0625,0.0207,0.0023,
"16",771130,0.0025,0.4832,0.4972,0.0197,649522,0.672,0.328,0.1933,0.086,0.0368,0.0141,0.0015,
"17",768707,-0.0007,0.4958,0.4865,0.0177,623162,0.6368,0.3632,0.1556,0.1525,0.041,0.0151,0.0017,
"18",766707,-0.0033,0.487,0.4941,0.0189,602262,0.5253,0.4747,0.1835,0.22,0.045,0.019,0.0024,
"19",769212,0,0.3742,0.6095,0.0163,634988,0.6901,0.3099,0.1987,0.0759,0.0213,0.0148,0.0012,
"20",767437,-0.0023,0.5006,0.4859,0.0135,639865,0.6675,0.3325,0.1648,0.0997,0.0376,0.0105,0.0014,
"21",769340,0.0002,0.4976,0.4887,0.0137,629064,0.6429,0.3571,0.1604,0.1491,0.0261,0.0138,0.0014,
"22",769233,0,0.4942,0.4912,0.0146,603030,0.0727,0.9273,0.825,0.0961,0.0203,0.01,0.0009,
"23",771123,0.0025,0.7296,0.2582,0.0122,617778,0.3315,0.6685,0.2351,0.3928,0.0371,0.0116,0.0021,
"24",771070,0.0024,0.4949,0.4876,0.0175,598729,0.4908,0.5092,0.3242,0.1292,0.0475,0.0165,0.0018,
"25",769023,-0.0003,0.4978,0.4875,0.0147,634677,0.1198,0.8802,0.8157,0.0527,0.0241,0.0076,0.0008,
"26",769200,0,0.4963,0.4876,0.0161,620647,0.4756,0.5244,0.2937,0.1948,0.0328,0.0149,0.0015,
"27",768211,-0.0013,0.7028,0.2844,0.0128,616061,0.1446,0.8554,0.526,0.3246,0.0184,0.0077,0.0011,
"28",770347,0.0015,0.4933,0.4915,0.0152,646060,0.4771,0.5229,0.3787,0.1205,0.0224,0.0115,0.0011,
"",769219,0.0074,0.4745,0.5065,0.019,619258,0.5465,0.4535,0.2499,0.1554,0.0368,0.017,0.0018,
