ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",764827,-0.0004,0.4873,0.5018,0.0109,587105,0.4658,0.5342,0.0532,0.4489,0.0211,0.016,0.0025,
"2",765192,0.0001,0.4837,0.4997,0.0167,576475,0.5098,0.4902,0.0826,0.3771,0.0153,0.0223,0.0013,
"3",763123,-0.0026,0.6465,0.3359,0.0177,607259,0.4297,0.5703,0.0639,0.4594,0.0381,0.0166,0.0013,
"4",761679,-0.0045,0.2038,0.7777,0.0185,592201,0.7795,0.2205,0.1333,0.0457,0.0156,0.0292,0.0009,
"5",767070,0.0025,0.472,0.5121,0.0158,591207,0.5451,0.4549,0.0619,0.3491,0.0296,0.0185,0.0029,
"6",761737,-0.0044,0.5072,0.4792,0.0136,580589,0.4374,0.5626,0.0714,0.4459,0.0356,0.018,0.0011,
"7",764209,-0.0012,0.2806,0.7091,0.0103,587733,0.6518,0.3482,0.0664,0.2564,0.0115,0.0169,0.0013,
"8",765049,-0.0001,0.4978,0.4886,0.0136,590295,0.486,0.514,0.0481,0.4299,0.0244,0.0165,0.0018,
"9",767087,0.0025,0.4888,0.4902,0.021,580996,0.4653,0.5347,0.1927,0.2351,0.0969,0.0229,0.002,
"10",765903,0.001,0.5049,0.4779,0.0172,571228,0.4512,0.5488,0.0824,0.4012,0.0557,0.0187,0.0014,
"11",765788,0.0009,0.499,0.4815,0.0195,578697,0.4659,0.5341,0.1154,0.2995,0.1102,0.0189,0.0014,
"12",766367,0.0016,0.4998,0.4805,0.0196,582440,0.5174,0.4826,0.0876,0.2728,0.1087,0.0179,0.0011,
"13",766752,0.0021,0.5004,0.4762,0.0234,596827,0.6178,0.3822,0.0918,0.193,0.0802,0.0178,0.0014,
"14",767125,0.0026,0.4929,0.4822,0.0249,597222,0.5668,0.4332,0.1159,0.2312,0.068,0.0188,0.0013,
"",765136,0.0071,0.4718,0.5106,0.0175,587162,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
