ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",752839,-0.0011,0.532,0.4528,0.0152,579045,0.7213,0.2787,0.1529,0.0394,0.0692,0.0195,0.0014,
"2",754233,0.0007,0.5351,0.4472,0.0177,573009,0.6905,0.3095,0.173,0.0743,0.0451,0.0226,0.001,
"3",754048,0.0005,0.5656,0.4152,0.0193,580860,0.7041,0.2959,0.1631,0.0771,0.0391,0.0223,0.001,
"4",753765,0.0001,0.5178,0.469,0.0131,596436,0.7593,0.2407,0.1034,0.0306,0.0966,0.0115,0.0009,
"5",754442,0.001,0.7207,0.2675,0.0118,590322,0.5453,0.4547,0.1824,0.104,0.1597,0.0186,0.0017,
"6",753703,0,0.7158,0.2697,0.0145,608980,0.5538,0.4462,0.2153,0.0677,0.1555,0.0223,0.0015,
"7",754567,0.0012,0.5148,0.4706,0.0146,586782,0.7382,0.2618,0.1145,0.0399,0.0944,0.014,0.0009,
"8",753675,0,0.5304,0.4516,0.018,577383,0.712,0.288,0.1123,0.0624,0.0976,0.0164,0.0015,
"9",754857,0.0016,0.566,0.414,0.0201,578874,0.7032,0.2968,0.1267,0.1153,0.0373,0.0202,0.001,
"10",753676,0,0.557,0.4247,0.0183,582937,0.706,0.294,0.0687,0.1908,0.0163,0.0188,0.0009,
"11",753997,0.0004,0.5625,0.418,0.0195,590067,0.739,0.261,0.036,0.1724,0.0281,0.0208,0.0014,
"12",749841,-0.0051,0.4376,0.5344,0.028,589532,0.8912,0.1088,0.0224,0.0494,0.0114,0.0199,0.001,
"13",753550,-0.0002,0.5554,0.4242,0.0204,590010,0.6504,0.3496,0.0844,0.2048,0.045,0.0181,0.0011,
"14",754150,0.0006,0.8915,0.1005,0.008,587523,0.1922,0.8078,0.0959,0.6888,0.0217,0.0148,0.0012,
"15",753686,0,0.7839,0.2039,0.0122,577311,0.3254,0.6746,0.4267,0.2158,0.0327,0.0336,0.0012,
"16",753778,0.0001,0.8299,0.1575,0.0126,638697,0.5295,0.4705,0.1998,0.1676,0.0983,0.0174,0.0015,
"17",753701,0,0.7918,0.1959,0.0122,571701,0.2487,0.7513,0.4854,0.1958,0.0697,0.0388,0.0012,
"",753677,0.0067,0.6169,0.3667,0.0164,588204,0.6124,0.3876,0.162,0.1468,0.0662,0.0205,0.0012,
