ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,NaN,0,0,0,0,0,0,0,0,0,0,0,
"1",0,NaN,0.4813,0.4871,0.0316,604079,0.822,0.178,0.0361,0.0724,0.0457,0.0191,0.0062,
"2",0,NaN,0.4834,0.485,0.0316,577603,0.7556,0.2444,0.0911,0.1088,0.0203,0.0214,0.0011,
"3",0,NaN,0.4873,0.4853,0.0274,579811,0.6726,0.3274,0.1338,0.1586,0.0166,0.0222,0.0009,
"4",0,NaN,0.2984,0.6698,0.0318,564654,0.8762,0.1238,0.0569,0.0276,0.0188,0.0178,0.0009,
"5",0,NaN,0.2991,0.671,0.0299,582394,0.9257,0.0743,0.0281,0.0123,0.0093,0.02,0.0009,
"6",0,NaN,0.4856,0.4795,0.0349,572838,0.6942,0.3058,0.0719,0.1856,0.0286,0.0208,0.0013,
"7",0,NaN,0.2952,0.6702,0.0345,578203,0.9001,0.0999,0.0286,0.0242,0.0237,0.019,0.001,
"8",0,NaN,0.4878,0.4798,0.0324,567670,0.7369,0.2631,0.0645,0.1163,0.0631,0.0176,0.0013,
"9",0,NaN,0.4877,0.4786,0.0336,565327,0.6587,0.3413,0.0992,0.1901,0.0343,0.0192,0.0012,
"",0,NaN,0.4208,0.5472,0.0319,576953,0.783,0.217,0.0676,0.0992,0.0289,0.0197,0.0017,
