ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",773637,0.0022,0.8868,0.0937,0.0195,601909,0.1083,0.8917,0.198,0.6507,0.0485,0.0244,0.0016,
"2",772406,0.0006,0.492,0.4824,0.0256,603274,0.5871,0.4129,0.0532,0.3096,0.0344,0.022,0.0019,
"3",769601,-0.003,0.4873,0.4802,0.0325,597226,0.6501,0.3499,0.0851,0.1982,0.0491,0.0212,0.002,
"4",769625,-0.003,0.4868,0.4797,0.0335,600958,0.6386,0.3614,0.062,0.2115,0.0712,0.0186,0.0013,
"5",772944,0.0013,0.4911,0.4785,0.0304,600816,0.6559,0.3441,0.1001,0.1309,0.098,0.0186,0.0016,
"6",773537,0.0021,0.7626,0.2101,0.0273,600439,0.4316,0.5684,0.1972,0.2063,0.1573,0.0182,0.0017,
"7",771828,-0.0001,0.4875,0.477,0.0355,597470,0.6432,0.3568,0.0603,0.163,0.1185,0.0169,0.0017,
"8",771825,-0.0001,0.8266,0.1467,0.0266,613110,0.2812,0.7188,0.0624,0.6023,0.0497,0.0157,0.0013,
"",771923,0.0052,0.6033,0.3675,0.0292,601900,0.4987,0.5013,0.1022,0.3101,0.0782,0.0194,0.0016,
