ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",789089,0.0031,0.4911,0.4831,0.0258,0,0,0,0,0,0,0,0,
"2",789066,0.0031,0.3431,0.6352,0.0216,0,0,0,0,0,0,0,0,
"3",789666,0.0039,0.2985,0.6793,0.0222,0,0,0,0,0,0,0,0,
"4",784601,-0.0026,0.4696,0.5085,0.022,0,0,0,0,0,0,0,0,
"5",787946,0.0017,0.2512,0.7279,0.0209,0,0,0,0,0,0,0,0,
"6",785832,-0.001,0.5238,0.4546,0.0216,0,0,0,0,0,0,0,0,
"7",784094,-0.0032,0.4946,0.485,0.0204,0,0,0,0,0,0,0,0,
"8",784889,-0.0022,0.4936,0.4836,0.0229,0,0,0,0,0,0,0,0,
"9",785458,-0.0015,0.5098,0.4694,0.0208,0,0,0,0,0,0,0,0,
"10",786662,0,0.4959,0.4828,0.0213,0,0,0,0,0,0,0,0,
"11",786302,-0.0004,0.4896,0.4881,0.0222,0,0,0,0,0,0,0,0,
"12",785408,-0.0016,0.4794,0.4957,0.0249,0,0,0,0,0,0,0,0,
"13",787648,0.0013,0.4869,0.4923,0.0208,0,0,0,0,0,0,0,0,
"14",784376,-0.0029,0.4833,0.4934,0.0232,0,0,0,0,0,0,0,0,
"15",788411,0.0023,0.4876,0.487,0.0254,0,0,0,0,0,0,0,0,
"",786629,0.0071,0.4535,0.5241,0.0224,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
