ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",737778,0.0014,0.489,0.4873,0.0237,574315,0.8067,0.1933,0.0925,0.0645,0.0162,0.0183,0.0011,
"2",737006,0.0004,0.4764,0.5031,0.0206,579738,0.8857,0.1143,0.031,0.0174,0.0244,0.0355,0.001,
"3",736580,-0.0002,0.4875,0.4868,0.0257,578467,0.9123,0.0877,0.0229,0.0135,0.0207,0.0236,0.001,
"4",735614,-0.0015,0.5043,0.4762,0.0195,553086,0.6005,0.3995,0.1296,0.2161,0.0424,0.0182,0.0011,
"5",737869,0.0016,0.596,0.3826,0.0214,589698,0.8387,0.1613,0.0563,0.0444,0.041,0.0156,0.0012,
"6",735164,-0.0021,0.4833,0.4953,0.0214,572666,0.7887,0.2113,0.0461,0.1085,0.04,0.0142,0.0012,
"7",735812,-0.0012,0.4378,0.5386,0.0237,578872,0.893,0.107,0.0319,0.0181,0.032,0.0202,0.001,
"8",737895,0.0016,0.4831,0.4924,0.0245,585458,0.8103,0.1897,0.0854,0.0395,0.0377,0.0272,0.0011,
"",736715,0.0037,0.4953,0.4821,0.0226,576538,0.8183,0.1817,0.0616,0.0642,0.0318,0.0216,0.0011,
