Dist	Incumbent	Incumbent Party	2025 PVI	2026 PVI	2026 Rank
AL-01	OPEN (Moore)	R	R+27	R+17	394
AL-02	Shomari Figures	D	D+5	R+7	259
AL-03	Mike Rogers	R	R+23	R+23	422
AL-04	Robert Aderholt	R	R+33	R+33	435
AL-05	Dale Strong	R	R+15	R+15	366
AL-06	Gary Palmer	R	R+20	R+17	393
AL-07	Terri Sewell	D	D+13	D+10	124
AK-AL	Nick Begich	R	R+6	R+6	258
AZ-01	OPEN (Schweikert)	R	R+1	R+1	213
AZ-02	Eli Crane	R	R+7	R+7	265
AZ-03	Yassamin Ansari	D	D+22	D+22	44
AZ-04	Greg Stanton	D	D+4	D+4	173
AZ-05	OPEN (Biggs)	R	R+10	R+10	303
AZ-06	Juan Ciscomani	R	EVEN	EVEN	209
AZ-07	Adelita Grijalva	D	D+13	D+13	96
AZ-08	Abraham Hamadeh	R	R+8	R+8	282
AZ-09	Paul Gosar	R	R+15	R+15	371
AR-01	Rick Crawford	R	R+23	R+23	421
AR-02	French Hill	R	R+8	R+8	275
AR-03	Steve Womack	R	R+13	R+13	354
AR-04	Bruce Westerman	R	R+20	R+20	407
CA-01	James Gallagher	R	R+12	D+7	144
CA-02	Jared Huffman	D	D+24	D+13	90
CA-03	Ami Bera	D	R+2	D+6	157
CA-04	Mike Thompson	D	D+17	D+8	133
CA-05	Tom McClintock	R	R+8	R+10	307
CA-06	Kevin Kiley	I	D+8	D+5	164
CA-07	Doris Matsui	D	D+16	D+7	142
CA-08	John Garamendi	D	D+24	D+19	63
CA-09	Josh Harder	D	D+1	D+8	139
CA-10	Mark DeSaulnier	D	D+18	D+18	70
CA-11	OPEN (Pelosi)	D	D+36	D+36	6
CA-12	Lateefah Simon	D	D+39	D+39	2
CA-13	Adam Gray	D	R+1	D+2	186
CA-14	VACANT (Swalwell)	D	D+20	D+19	58
CA-15	Kevin Mullin	D	D+26	D+26	28
CA-16	Sam Liccardo	D	D+26	D+25	29
CA-17	Ro Khanna	D	D+21	D+21	45
CA-18	Zoe Lofgren	D	D+17	D+16	80
CA-19	Jimmy Panetta	D	D+18	D+18	66
CA-20	Vince Fong	R	R+15	R+16	379
CA-21	Jim Costa	D	D+4	D+5	161
CA-22	David Valadao	R	R+1	D+1	199
CA-23	Jay Obernolte	R	R+8	R+9	296
CA-24	Salud Carbajal	D	D+13	D+13	88
CA-25	Raul Ruiz	D	D+3	D+4	170
CA-26	OPEN (Brownley)	D	D+8	D+9	128
CA-27	George Whitesides	D	D+3	D+6	151
CA-28	Judy Chu	D	D+15	D+14	86
CA-29	Luz Rivas	D	D+20	D+19	57
CA-30	Laura Friedman	D	D+22	D+21	46
CA-31	Gil Cisneros	D	D+10	D+8	136
CA-32	Brad Sherman	D	D+17	D+14	87
CA-33	Pete Aguilar	D	D+7	D+7	143
CA-34	Jimmy Gomez	D	D+28	D+28	20
CA-35	Norma Torres	D	D+8	D+6	155
CA-36	Ted Lieu	D	D+21	D+21	51
CA-37	Sydney Kamlager-Dove	D	D+33	D+33	10
CA-38	OPEN (Sánchez)	D	D+10	D+8	132
CA-39	Mark Takano	D	D+7	D+7	145
CA-40	Young Kim	R	R+1	R+6	249
CA-41	Linda Sanchez	D	R+2	D+9	127
CA-42	Robert Garcia	D	D+18	D+8	140
CA-43	Maxine Waters	D	D+27	D+27	25
CA-44	Nanette Barragan	D	D+19	D+20	54
CA-45	Derek Tran	D	D+1	D+3	182
CA-46	Lou Correa	D	D+11	D+10	119
CA-47	Dave Min	D	D+3	D+6	156
CA-48	OPEN (Issa)	R	R+7	D+2	189
CA-49	Mike Levin	D	D+4	D+7	147
CA-50	Scott Peters	D	D+16	D+10	121
CA-51	Sara Jacobs	D	D+13	D+10	118
CA-52	Juan Vargas	D	D+13	D+11	109
CO-01	OPEN (DeGette)	D	D+29	D+29	18
CO-02	Joe Neguse	D	D+20	D+20	53
CO-03	Jeff Hurd	R	R+5	R+5	236
CO-04	Lauren Boebert	R	R+9	R+9	299
CO-05	Jeff Crank	R	R+5	R+5	237
CO-06	Jason Crow	D	D+11	D+11	114
CO-07	Brittany Petterson	D	D+8	D+8	141
CO-08	Gabe Evans	R	EVEN	EVEN	207
CT-01	John Larson	D	D+12	D+12	101
CT-02	Joe Courtney	D	D+4	D+4	167
CT-03	Rosa DeLauro	D	D+8	D+8	137
CT-04	Jim Himes	D	D+13	D+13	94
CT-05	Jahana Hayes	D	D+3	D+3	174
DE-AL	Sarah McBride	D	D+8	D+8	134
FL-01	Jimmy Patronis	R	R+18	R+18	401
FL-02	OPEN (Dunn)	R	R+8	R+8	286
FL-03	Kat Cammack	R	R+10	R+10	304
FL-04	Aaron Bean	R	R+5	R+5	241
