state,district,lean
AL,1,54
AL,2,2
AL,3,2
AL,4,67
AL,5,10
AL,6,2
AL,7,1
AR,1,4
AR,2,56
AR,3,49
AR,4,4
AZ,1,19
AZ,2,-14
AZ,3,-1
AZ,4,0
AZ,5,4
AZ,6,5
AZ,7,2
AZ,8,1
AZ,9,2
CA,1,-1
CA,2,-46
CA,3,-34
CA,4,-1
CA,5,-1
CA,6,-1
CA,7,-1
CA,8,-1
CA,9,-1
CA,10,-1
CA,11,-1
CA,12,-46
CA,13,-1
CA,14,-1
CA,15,0
CA,16,-1
CA,17,-1
CA,18,-1
CA,19,-2
CA,20,-43
CA,21,-51
CA,22,-38
CA,23,-39
CA,24,-46
CA,25,-57
CA,26,-79
CA,27,-59
CA,28,-75
CA,29,-54
CA,30,-42
CA,31,-63
CA,32,-63
CA,33,-2
CA,34,-2
CA,35,-3
CA,36,-2
CA,37,-2
CA,38,-2
CA,39,-2
CA,40,-2
CA,41,-50
CA,42,-43
CA,43,-51
CA,44,-56
CA,45,-75
CA,46,-59
CA,47,-56
CA,48,-54
CA,49,-2
CA,50,-55
CA,51,-83
CA,52,-48
CO,1,-59
CO,2,-14
CO,3,2
CO,4,0
CO,5,2
CO,6,0
CO,7,0
CO,8,-3
CT,1,-3
CT,2,-36
CT,3,-49
CT,4,-3
CT,5,-2
FL,1,39
FL,2,42
FL,3,0
FL,4,0
FL,5,-1
FL,6,37
FL,7,0
FL,8,-1
FL,9,0
FL,10,0
FL,11,0
FL,12,21
FL,13,1
FL,14,1
FL,15,1
FL,16,1
FL,17,-1
FL,18,1
FL,19,24
FL,20,-1
FL,21,-1
FL,22,0
FL,23,-48
FL,24,-1
FL,25,-1
FL,26,-1
FL,27,-42
FL,28,0
GA,1,1
GA,2,2
GA,3,-32
GA,4,58
GA,5,4
GA,6,-3
GA,7,43
GA,8,-1
GA,9,0
GA,10,-3
GA,11,-2
GA,12,-2
GA,13,-2
GA,14,-1
HI,1,-39
HI,2,-34
IA,1,0
IA,2,38
IA,3,1
IA,4,1
ID,1,4
ID,2,54
IL,1,-8
IL,2,-9
IL,3,-15
IL,4,-5
IL,5,-46
IL,6,-45
IL,7,-4
IL,8,-8
IL,9,-16
IL,10,-13
IL,11,-15
IL,12,10
IL,13,-13
IL,14,-80
IL,15,-59
IL,16,-68
IL,17,-60
IN,1,1
IN,2,0
IN,3,0
IN,4,38
IN,5,38
IN,6,-1
IN,7,39
IN,8,-1
IN,9,-1
KS,1,1
KS,2,2
KS,3,1
KS,4,54
KY,1,1
KY,2,0
KY,3,1
KY,4,31
KY,5,47
KY,6,39
LA,1,53
LA,2,68
LA,3,0
LA,4,0
LA,5,1
LA,6,1
MA,1,3
MA,2,-3
MA,3,-47
MA,4,0
MA,5,-1
MA,6,-64
MA,7,-47
MA,8,-36
MA,9,-42
MD,1,-81
MD,2,-1
MD,3,-1
MD,4,-1
MD,5,-1
MD,6,-57
MD,7,-1
MD,8,-70
ME,1,-6
ME,2,4
MI,1,-1
MI,2,-38
MI,3,0
MI,4,27
MI,5,-63
MI,6,1
MI,7,0
MI,8,2
MI,9,3
MI,10,1
MI,11,0
MI,12,2
MI,13,-1
MN,1,-5
MN,2,3
MN,3,-64
MN,4,-1
MN,5,1
MN,6,-1
MN,7,-1
MN,8,-5
MO,1,57
MO,2,1
MO,3,56
MO,4,0
MO,5,0
MO,6,1
MO,7,1
MO,8,1
MS,1,-1
MS,2,-1
MS,3,56
MS,4,-1
MT,1,27
MT,2,-1
NC,1,0
NC,2,1
NC,3,7
NC,4,16
NC,5,-1
NC,6,0
NC,7,1
NC,8,-2
NC,9,-2
NC,10,-1
NC,11,-4
NC,12,43
NC,13,-2
NC,14,-37
NE,1,2
NE,2,8
NE,3,58
NH,1,4
NH,2,10
NJ,1,-4
NJ,2,-6
NJ,3,-6
NJ,4,-5
NJ,5,-4
NJ,6,-5
NJ,7,-4
NJ,8,-3
NJ,9,-3
NJ,10,-56
NJ,11,-72
NJ,12,-57
NM,1,-33
NM,2,-1
NM,3,0
NV,1,2
NV,2,2
NV,3,-1
NV,4,-15
NY,1,-78
NY,2,-91
NY,3,-77
NY,4,-84
NY,5,-1
NY,6,-77
NY,7,-79
NY,8,-51
NY,9,0
NY,10,0
NY,11,-1
NY,12,0
NY,13,0
NY,14,-3
NY,15,-4
NY,16,-2
NY,17,-6
NY,18,-52
NY,19,0
NY,20,-60
NY,21,-1
NY,22,-87
NY,23,0
NY,24,-74
NY,25,-52
NY,26,0
OH,1,-1
OH,2,30
OH,3,39
OH,4,4
OH,5,49
OH,6,-7
OH,7,-1
OH,8,-1
OH,9,-4
OH,10,-1
OH,11,0
OH,12,2
OH,13,1
OH,14,1
OH,15,0
OK,1,3
OK,2,0
OK,3,45
OK,4,56
OK,5,49
OR,1,-1
OR,2,-70
OR,3,-1
OR,4,-3
OR,5,-3
OR,6,-7
PA,1,0
PA,2,-59
PA,3,-64
PA,4,-5
PA,5,-41
PA,6,-1
PA,7,1
PA,8,0
PA,9,-2
PA,10,42
PA,11,0
PA,12,-1
PA,13,41
PA,14,-1
