ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",724153,0.0034,0.764,0.1997,0.0363,588364,0.5878,0.4122,0.2447,0.0965,0.0524,0.0334,0.0036,
"2",724887,0.0044,0.5477,0.4131,0.0392,578717,0.7792,0.2208,0.1349,0.0132,0.0368,0.0319,0.0024,
"3",720913,-0.0011,0.4682,0.4872,0.0446,557374,0.7467,0.2533,0.1742,0.0177,0.0325,0.0299,0.0026,
"4",721039,-0.0009,0.4768,0.4797,0.0436,543236,0.5591,0.4409,0.3334,0.0367,0.0459,0.0405,0.0032,
"5",720274,-0.002,0.4697,0.4919,0.0385,546580,0.7563,0.2437,0.1031,0.0431,0.0738,0.0239,0.0032,
"6",723356,0.0023,0.4756,0.4747,0.0497,545896,0.5717,0.4283,0.2138,0.1315,0.0585,0.0378,0.008,
"7",719579,-0.003,0.4789,0.4761,0.045,574752,0.7045,0.2955,0.2057,0.031,0.024,0.0412,0.0034,
"8",719513,-0.0031,0.4906,0.4661,0.0433,574657,0.7807,0.2193,0.1263,0.0204,0.0428,0.0297,0.0026,
"",721714,0.0074,0.5218,0.436,0.0423,563697,0.6865,0.3135,0.1916,0.0486,0.0456,0.0335,0.0036,
