ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",779409,-0.0022,0.4716,0.4976,0.0308,633554,0.8534,0.1466,0.0373,0.044,0.03,0.0121,0.001,
"2",779682,-0.0018,0.4944,0.4689,0.0367,619132,0.8434,0.1566,0.0484,0.0487,0.0357,0.0108,0.001,
"3",781027,-0.0001,0.7095,0.2564,0.0341,627826,0.6352,0.3648,0.1823,0.1066,0.0668,0.0174,0.0018,
"4",780906,-0.0003,0.4806,0.4765,0.0429,624960,0.8145,0.1855,0.0882,0.0363,0.0341,0.0146,0.0013,
"5",779080,-0.0026,0.4865,0.4726,0.0409,623724,0.8116,0.1884,0.0712,0.0371,0.0585,0.0096,0.001,
"6",783258,0.0028,0.7934,0.177,0.0295,674627,0.6003,0.3997,0.0979,0.1022,0.1784,0.0092,0.0015,
"7",781124,0,0.7163,0.2561,0.0276,622848,0.4971,0.5029,0.1179,0.277,0.0948,0.0136,0.0019,
"8",781546,0.0006,0.6561,0.3074,0.0365,618701,0.5664,0.4336,0.2806,0.0785,0.072,0.0157,0.0017,
"9",783885,0.0036,0.6877,0.2778,0.0345,618351,0.7228,0.2772,0.0661,0.0412,0.1348,0.0083,0.0011,
"",781102,0.0062,0.6034,0.3617,0.0349,629303,0.7043,0.2957,0.1097,0.0859,0.0791,0.0123,0.0014,
