ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",774930,-0.0003,0.4897,0.4831,0.0272,617976,0.7748,0.2252,0.0334,0.1368,0.0095,0.0415,0.001,
"2",775859,0.0009,0.6739,0.303,0.0231,609206,0.5191,0.4809,0.0346,0.4032,0.0246,0.0196,0.0009,
"3",776012,0.0011,0.4865,0.488,0.0255,618288,0.7675,0.2325,0.0238,0.1344,0.0519,0.0173,0.0008,
"4",774111,-0.0014,0.3535,0.6183,0.0282,613976,0.9095,0.0905,0.0312,0.0136,0.0097,0.0278,0.0009,
"5",772012,-0.0041,0.7991,0.179,0.022,576238,0.3665,0.6335,0.0839,0.5035,0.037,0.0168,0.0011,
"6",777011,0.0024,0.4826,0.4913,0.0261,620090,0.789,0.211,0.044,0.0773,0.0678,0.0172,0.0007,
"7",777361,0.0028,0.4877,0.4832,0.0291,608096,0.7831,0.2169,0.0462,0.1072,0.0349,0.0235,0.0011,
"8",777576,0.0031,0.478,0.499,0.0229,612045,0.7921,0.2079,0.0335,0.0778,0.0732,0.0162,0.0008,
"9",773467,-0.0022,0.4686,0.4988,0.0326,592040,0.768,0.232,0.0859,0.093,0.0337,0.0202,0.0011,
"10",772362,-0.0036,0.4807,0.4875,0.0319,598291,0.7952,0.2048,0.0682,0.0836,0.0244,0.0248,0.001,
"11",776886,0.0022,0.4847,0.4859,0.0294,620954,0.8275,0.1725,0.0487,0.063,0.0327,0.0237,0.001,
"12",776177,0.0013,0.4788,0.4939,0.0272,612062,0.7813,0.2187,0.0378,0.1054,0.0479,0.0228,0.0008,
"13",773567,-0.0021,0.4894,0.4839,0.0268,615340,0.8399,0.1601,0.037,0.0492,0.0454,0.0213,0.0011,
"",775178,0.0072,0.5048,0.4681,0.0271,608816,0.7491,0.2509,0.0465,0.1404,0.038,0.0225,0.0009,
