ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",714274,0.0013,0.4961,0.4508,0.0531,537600,0.7918,0.2082,0.066,0.0628,0.0567,0.0175,0.0015,
"2",714531,0.0017,0.4634,0.4882,0.0484,560534,0.8868,0.1132,0.0179,0.0188,0.0109,0.0582,0.0011,
"3",712834,-0.0007,0.7743,0.1719,0.0538,569205,0.6369,0.3631,0.0837,0.1775,0.0789,0.0272,0.0016,
"4",712809,-0.0007,0.4789,0.4703,0.0508,544414,0.8488,0.1512,0.0392,0.0412,0.0487,0.0155,0.0014,
"5",712547,-0.0011,0.4722,0.48,0.0478,549010,0.8372,0.1628,0.0591,0.0386,0.0461,0.0151,0.0013,
"6",714708,0.002,0.4767,0.4701,0.0532,543750,0.7612,0.2388,0.0519,0.0697,0.0936,0.0225,0.0014,
"7",713148,-0.0002,0.4808,0.4678,0.0514,537902,0.819,0.181,0.0367,0.0636,0.0589,0.0161,0.001,
"8",711643,-0.0023,0.4972,0.4525,0.0504,546618,0.8188,0.1812,0.0436,0.0691,0.0468,0.0169,0.0017,
"",713312,0.0043,0.5173,0.4316,0.0511,548629,0.7995,0.2005,0.0498,0.0681,0.055,0.0238,0.0014,
