ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",772560,0.0042,0.2101,0.7657,0.0242,596963,0.8816,0.1184,0.0248,0.0454,0.0102,0.0307,0.0017,
"2",769005,-0.0005,0.4824,0.4892,0.0283,595677,0.7293,0.2707,0.0374,0.1603,0.0474,0.0204,0.0012,
"3",772821,0.0045,0.2158,0.7561,0.0281,589531,0.8797,0.1203,0.0406,0.0132,0.0116,0.0449,0.0039,
"4",768196,-0.0015,0.4846,0.4873,0.0281,596065,0.6792,0.3208,0.0242,0.2488,0.0244,0.0212,0.0012,
"5",767225,-0.0028,0.4811,0.4858,0.0331,616247,0.7639,0.2361,0.0376,0.135,0.0297,0.0283,0.0018,
"6",767993,-0.0018,0.4793,0.4871,0.0336,586079,0.7187,0.2813,0.0708,0.1524,0.0222,0.0327,0.004,
"7",769570,0.0003,0.4827,0.4901,0.0272,601847,0.8424,0.1576,0.0257,0.0601,0.0431,0.0206,0.0009,
"8",767543,-0.0024,0.4788,0.4882,0.033,593203,0.7425,0.2575,0.0701,0.1263,0.0279,0.0289,0.0044,
"",769364,0.0073,0.4153,0.5553,0.0294,596952,0.7797,0.2203,0.0413,0.1177,0.0271,0.0284,0.0024,
