ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",744725,-0.0013,0.4938,0.4891,0.0172,591512,0.5684,0.4316,0.0502,0.3479,0.0162,0.0207,0.0016,
"2",748043,0.0032,0.4855,0.4934,0.0211,582501,0.5018,0.4982,0.0809,0.3037,0.024,0.1005,0.004,
"3",745594,-0.0001,0.455,0.5194,0.0256,612862,0.8449,0.1551,0.0628,0.0396,0.014,0.0347,0.0024,
"4",744029,-0.0022,0.4074,0.5681,0.0245,588347,0.6949,0.3051,0.0918,0.1698,0.0208,0.0248,0.0033,
"5",748078,0.0032,0.4925,0.486,0.0215,565067,0.5752,0.4248,0.1203,0.2627,0.0275,0.022,0.0015,
"6",746396,0.001,0.4894,0.4866,0.024,585719,0.6032,0.3968,0.1011,0.2419,0.0383,0.0216,0.0011,
"7",748274,0.0035,0.4846,0.4915,0.0239,588326,0.6025,0.3975,0.0996,0.2365,0.0459,0.0224,0.0013,
"8",743345,-0.0031,0.4956,0.4791,0.0253,556109,0.6245,0.3755,0.1123,0.1829,0.0644,0.0197,0.0013,
"9",744974,-0.0009,0.4953,0.4794,0.0253,560050,0.6711,0.3289,0.0926,0.1396,0.0774,0.0212,0.0019,
"10",746790,0.0015,0.4922,0.4864,0.0214,579302,0.6348,0.3652,0.0963,0.1945,0.0563,0.0216,0.0011,
"11",746033,0.0005,0.5066,0.472,0.0214,584333,0.5887,0.4113,0.075,0.2747,0.0457,0.0218,0.0011,
"12",743528,-0.0029,0.2787,0.6977,0.0236,586776,0.8099,0.1901,0.0681,0.0867,0.0135,0.0218,0.0008,
"13",746358,0.0009,0.5013,0.4774,0.0213,585314,0.6239,0.3761,0.1006,0.2362,0.0232,0.0229,0.0013,
"14",743221,-0.0033,0.6712,0.3079,0.0209,588881,0.5541,0.4459,0.0958,0.2797,0.0562,0.0204,0.0012,
"",745671,0.0068,0.483,0.4944,0.0226,582507,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
