ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770580,-0.0039,0.5051,0.469,0.0259,600633,0.5495,0.4505,0.2992,0.1018,0.0538,0.0187,0.0014,
"2",770555,-0.0039,0.5221,0.4597,0.0183,606879,0.6315,0.3685,0.1672,0.0397,0.1593,0.0095,0.0012,
"3",773313,-0.0004,0.5182,0.4586,0.0232,608687,0.6612,0.3388,0.1322,0.1688,0.0288,0.0199,0.0014,
"4",772095,-0.0019,0.5136,0.4652,0.0212,615140,0.697,0.303,0.1124,0.1141,0.0681,0.0149,0.0016,
"5",775401,0.0023,0.512,0.4695,0.0185,600406,0.6809,0.3191,0.1108,0.1457,0.053,0.0149,0.0015,
"6",773142,-0.0006,0.5145,0.4643,0.0212,600450,0.6367,0.3633,0.1437,0.1272,0.0843,0.0135,0.0013,
"7",774711,0.0015,0.5068,0.4715,0.0217,613362,0.6112,0.3888,0.1453,0.0964,0.1367,0.0121,0.0013,
"8",772820,-0.001,0.5036,0.4775,0.0189,607157,0.6869,0.3131,0.1315,0.0506,0.1222,0.0094,0.0009,
"9",772893,-0.0009,0.5027,0.475,0.0222,610996,0.6542,0.3458,0.1096,0.0578,0.1696,0.0097,0.0011,
"10",775667,0.0027,0.7661,0.2139,0.02,596928,0.2223,0.7777,0.366,0.2505,0.1686,0.0187,0.0018,
"11",775703,0.0027,0.849,0.1355,0.0155,595625,0.2052,0.7948,0.2765,0.4595,0.0547,0.0163,0.0019,
"12",776136,0.0033,0.7689,0.2112,0.0199,625047,0.2947,0.7053,0.3735,0.1397,0.2049,0.0198,0.0022,
"",773585,0.0072,0.5624,0.4169,0.0207,606776,0.5447,0.4553,0.1972,0.1453,0.109,0.0148,0.0015,
