ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0.7465,0.2465,0.007,0,0,0,0,0,0,0,0,
"1",778605,0.0021,0.8775,0.1061,0.0165,616366,0.1717,0.8283,0.4839,0.3407,0.0702,0.0254,0.0035,
"2",778093,0.0014,0.9437,0.0442,0.012,611457,0.0899,0.9101,0.1706,0.7162,0.0581,0.0158,0.0024,
"3",779130,0.0028,0.8753,0.1122,0.0124,619304,0.1275,0.8725,0.2236,0.4262,0.2031,0.028,0.0045,
"4",778662,0.0022,0.893,0.079,0.028,631447,0.4037,0.5963,0.1837,0.2884,0.1361,0.0181,0.0021,
"5",774773,-0.0028,0.4941,0.4865,0.0194,563741,0.542,0.458,0.1371,0.0411,0.271,0.0114,0.0014,
"6",778861,0.0024,0.8619,0.1125,0.0257,689030,0.5804,0.4196,0.1367,0.0771,0.2052,0.0101,0.004,
"7",779143,0.0028,0.8742,0.104,0.0218,658546,0.4286,0.5714,0.2506,0.2423,0.108,0.0186,0.0024,
"8",779414,0.0031,0.7254,0.2384,0.0362,618303,0.5763,0.4237,0.089,0.2583,0.0678,0.0184,0.0017,
"9",775784,-0.0015,0.4868,0.4858,0.0274,626131,0.8186,0.1814,0.0418,0.0753,0.0447,0.0176,0.0008,
"10",775533,-0.0019,0.4839,0.4839,0.0322,617899,0.8635,0.1365,0.0379,0.0461,0.0218,0.0252,0.0014,
"11",778333,0.0018,0.4859,0.481,0.0331,626711,0.8333,0.1667,0.05,0.0651,0.0288,0.0194,0.0011,
"12",777417,0.0006,0.4866,0.4875,0.0259,620419,0.8229,0.1771,0.0535,0.0785,0.0235,0.0206,0.001,
"13",776191,-0.001,0.4819,0.4844,0.0337,613695,0.8527,0.1473,0.0364,0.0514,0.0346,0.0198,0.001,
"14",773835,-0.004,0.4995,0.4668,0.0337,620414,0.8363,0.1637,0.0401,0.0557,0.0374,0.0203,0.0015,
"15",776401,-0.0007,0.5017,0.465,0.0333,627890,0.8111,0.1889,0.0495,0.0762,0.04,0.0185,0.0012,
"16",773690,-0.0042,0.4963,0.4786,0.0251,570256,0.6465,0.3535,0.1812,0.1142,0.0467,0.0185,0.0014,
"17",773863,-0.004,0.5191,0.4598,0.0211,615143,0.6685,0.3315,0.1909,0.0817,0.0537,0.0163,0.0013,
"18",776071,-0.0012,0.7483,0.2339,0.0179,603668,0.4667,0.5333,0.2443,0.2222,0.0726,0.0163,0.0015,
"19",774767,-0.0028,0.4909,0.4906,0.0185,622940,0.7375,0.2625,0.1464,0.0604,0.0463,0.0143,0.001,
"20",779441,0.0032,0.7891,0.1946,0.0163,629696,0.1251,0.8749,0.3295,0.1186,0.4272,0.0246,0.0028,
"21",774844,-0.0027,0.4985,0.4861,0.0154,611639,0.5846,0.4154,0.1514,0.1026,0.1659,0.0129,0.0016,
"22",779097,0.0027,0.9259,0.0644,0.0097,577737,0.0269,0.9731,0.6265,0.3992,0.0463,0.0332,0.0041,
"23",777989,0.0013,0.491,0.4929,0.0161,615631,0.7048,0.2952,0.1349,0.05,0.1042,0.0091,0.0011,
"24",779396,0.0031,0.8421,0.1284,0.0295,655031,0.3906,0.6094,0.3255,0.102,0.1912,0.023,0.0026,
"25",777576,0.0008,0.749,0.2378,0.0133,602787,0.3144,0.6856,0.3228,0.2618,0.1069,0.021,0.0014,
"26",774340,-0.0034,0.4917,0.4907,0.0176,622254,0.7076,0.2924,0.1165,0.0345,0.1352,0.0081,0.0009,
"",776971,0.0074,0.6325,0.3439,0.0236,618774,0.5446,0.4554,0.1819,0.1679,0.1062,0.0186,0.0019,
