ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",763781,-0.0014,0.4881,0.4925,0.0194,609789,0.861,0.139,0.0468,0.0308,0.0464,0.0101,0.0008,
"2",766516,0.0022,0.7823,0.2007,0.0169,621989,0.5002,0.4998,0.1928,0.1754,0.1298,0.0134,0.0022,
"3",764459,-0.0005,0.8089,0.1769,0.0141,605546,0.3732,0.6268,0.0864,0.4728,0.0675,0.0145,0.0016,
"4",763700,-0.0015,0.5137,0.4655,0.0207,598651,0.796,0.204,0.0677,0.0715,0.053,0.0118,0.0011,
"5",766015,0.0015,0.6931,0.2928,0.0141,592959,0.5166,0.4834,0.0376,0.3786,0.061,0.0117,0.0011,
"6",762966,-0.0025,0.4935,0.4828,0.0237,585564,0.7637,0.2363,0.1292,0.0543,0.0477,0.0134,0.0014,
"7",765334,0.0006,0.4839,0.4919,0.0242,609184,0.732,0.268,0.1573,0.0757,0.0308,0.0151,0.0013,
"8",766231,0.0018,0.4879,0.4902,0.0218,617673,0.7961,0.2039,0.1024,0.0695,0.0235,0.0139,0.0012,
"9",764991,0.0002,0.4999,0.4791,0.0211,609181,0.8258,0.1742,0.0357,0.072,0.0522,0.0117,0.0008,
"10",764636,-0.0003,0.2837,0.6921,0.0241,602310,0.9078,0.0922,0.035,0.0276,0.0105,0.0155,0.0009,
"11",766423,0.002,0.4888,0.4854,0.0259,592146,0.7553,0.2447,0.1185,0.0866,0.0327,0.014,0.001,
"12",762311,-0.0033,0.4944,0.483,0.0227,621967,0.8307,0.1693,0.0165,0.1162,0.0188,0.0128,0.0007,
"13",765734,0.0011,0.2897,0.6874,0.0229,617511,0.9309,0.0691,0.0144,0.0249,0.0072,0.0144,0.0007,
"14",765040,0.0002,0.4933,0.4834,0.0233,620711,0.8713,0.1287,0.0192,0.0561,0.0339,0.0127,0.0009,
"15",763873,-0.0013,0.4812,0.4928,0.026,613639,0.7683,0.2317,0.0582,0.0984,0.0629,0.0132,0.0015,
"16",766471,0.0021,0.4886,0.4868,0.0246,613133,0.8453,0.1547,0.0239,0.0908,0.0173,0.0154,0.0009,
"17",764219,-0.0008,0.4913,0.4839,0.0248,621595,0.8608,0.1392,0.0185,0.0587,0.0431,0.0117,0.0007,
"",764865,0.0055,0.5131,0.4651,0.0218,609032,0.7615,0.2385,0.068,0.1148,0.0434,0.0132,0.0011,
