ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770327,0.0032,0.2579,0.7233,0.0188,607130,0.8906,0.1094,0.0354,0.0282,0.0144,0.0271,0.0009,
"2",767661,-0.0003,0.4913,0.4887,0.02,595836,0.5405,0.4595,0.0326,0.4001,0.0109,0.017,0.0009,
"3",767456,-0.0005,0.4908,0.4903,0.0189,584239,0.4983,0.5017,0.0738,0.3748,0.0385,0.0172,0.0013,
"4",764815,-0.004,0.4776,0.4917,0.0308,588890,0.6912,0.3088,0.1019,0.135,0.0544,0.0191,0.0014,
"5",764703,-0.0041,0.4792,0.4918,0.029,587536,0.6618,0.3382,0.0759,0.2107,0.0279,0.0245,0.003,
"6",767475,-0.0005,0.4887,0.4893,0.0221,596073,0.6778,0.3222,0.0787,0.1844,0.0362,0.0239,0.0015,
"7",770028,0.0028,0.2237,0.7599,0.0164,618990,0.9012,0.0988,0.0332,0.0273,0.0101,0.0243,0.0011,
"8",769079,0.0016,0.2533,0.7299,0.0168,605771,0.8891,0.1109,0.0369,0.0347,0.0107,0.0255,0.0009,
"9",769296,0.0019,0.2606,0.7225,0.0169,600008,0.8467,0.1533,0.0455,0.0652,0.0132,0.0267,0.0012,
"",767871,0.0073,0.3793,0.5995,0.0211,598275,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
