ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",768315,0.0017,0.4824,0.4932,0.0244,571538,0.4333,0.5667,0.27,0.2001,0.0779,0.0287,0.0044,
"2",767527,0.0007,0.4826,0.4925,0.0249,576643,0.4958,0.5042,0.1402,0.1164,0.2287,0.0219,0.002,
"3",766354,-0.0008,0.4841,0.493,0.0229,568910,0.457,0.543,0.3208,0.1584,0.0474,0.0276,0.0021,
"4",768482,0.0019,0.4893,0.4889,0.0219,575347,0.4508,0.5492,0.2111,0.218,0.103,0.027,0.0032,
"5",769295,0.003,0.483,0.491,0.026,578656,0.4966,0.5034,0.1965,0.1365,0.1504,0.028,0.0022,
"6",767833,0.0011,0.4865,0.494,0.0195,565076,0.3904,0.6096,0.3609,0.2114,0.0183,0.0323,0.0025,
"7",769382,0.0031,0.5008,0.4768,0.0224,609088,0.5246,0.4754,0.2537,0.1018,0.1034,0.0257,0.0016,
"8",765232,-0.0023,0.2122,0.7708,0.017,567740,0.5064,0.4936,0.3917,0.065,0.018,0.027,0.0021,
"9",764825,-0.0028,0.242,0.7366,0.0214,576158,0.5548,0.4452,0.3201,0.0713,0.0307,0.0312,0.0014,
"10",767201,0.0003,0.4935,0.4899,0.0166,576640,0.4259,0.5741,0.2987,0.2371,0.0211,0.0297,0.0013,
"11",765261,-0.0023,0.4905,0.4857,0.0238,562696,0.4311,0.5689,0.3033,0.1793,0.0699,0.0302,0.0019,
"12",764394,-0.0034,0.3492,0.6337,0.0171,564986,0.5222,0.4778,0.2595,0.1702,0.0229,0.0359,0.0018,
"13",764544,-0.0032,0.2102,0.7713,0.0185,578554,0.7774,0.2226,0.1234,0.0322,0.0283,0.037,0.0016,
"14",765642,-0.0018,0.6721,0.2966,0.0313,571738,0.1391,0.8609,0.7933,0.0445,0.023,0.0241,0.0034,
"15",769958,0.0039,0.6274,0.3526,0.02,540426,0.076,0.924,0.9003,0.0081,0.0145,0.015,0.0004,
"16",767140,0.0002,0.4926,0.4887,0.0187,558157,0.2002,0.7998,0.7602,0.0206,0.0129,0.0175,0.001,
"17",765431,-0.002,0.4947,0.4866,0.0187,565920,0.2402,0.7598,0.7026,0.0309,0.0173,0.0185,0.0014,
"18",766652,-0.0004,0.4881,0.4881,0.0238,573093,0.3629,0.6371,0.4707,0.1277,0.0308,0.0303,0.0041,
"19",764739,-0.0029,0.2626,0.7223,0.0151,582729,0.6292,0.3708,0.1593,0.1735,0.015,0.0263,0.0012,
"20",766234,-0.001,0.2457,0.735,0.0193,569161,0.6353,0.3647,0.2328,0.0707,0.0354,0.0299,0.0021,
"21",767263,0.0004,0.4907,0.4956,0.0138,581308,0.4077,0.5923,0.2011,0.3473,0.0325,0.0206,0.0013,
"22",767383,0.0005,0.4902,0.4899,0.0199,563978,0.2981,0.7019,0.5365,0.1168,0.0395,0.029,0.0015,
"23",768143,0.0015,0.4752,0.5053,0.0195,550486,0.3463,0.6537,0.345,0.2448,0.0532,0.0279,0.0036,
"24",766024,-0.0013,0.4845,0.4947,0.0208,578678,0.4,0.6,0.3414,0.168,0.0789,0.0253,0.0017,
"25",767582,0.0008,0.4877,0.4924,0.0199,561348,0.3197,0.6803,0.418,0.1732,0.0806,0.0284,0.0017,
"26",769486,0.0033,0.4794,0.5012,0.0195,595410,0.4552,0.5448,0.3207,0.1541,0.0576,0.0232,0.0015,
"27",769412,0.0032,0.4933,0.4888,0.0178,561485,0.3528,0.6472,0.2196,0.201,0.218,0.0172,0.0015,
"28",767898,0.0012,0.4905,0.4876,0.022,593284,0.4258,0.5742,0.3178,0.1287,0.1184,0.0252,0.0017,
"29",769231,0.0029,0.4901,0.4865,0.0234,583043,0.3286,0.6714,0.3489,0.1893,0.1265,0.0232,0.0016,
"30",768003,0.0013,0.3808,0.6018,0.0174,584159,0.4601,0.5399,0.2661,0.1839,0.0749,0.0265,0.0014,
"31",764991,-0.0026,0.4926,0.4863,0.0211,558574,0.2368,0.7632,0.6978,0.0392,0.0195,0.0238,0.0022,
"32",764787,-0.0029,0.4881,0.4874,0.0245,589265,0.3646,0.6354,0.5084,0.0668,0.0529,0.0277,0.0033,
"33",768933,0.0025,0.4786,0.4982,0.0233,590893,0.3837,0.6163,0.5268,0.0467,0.0325,0.0291,0.0027,
"34",769647,0.0035,0.4854,0.4895,0.0251,590299,0.4973,0.5027,0.3611,0.0957,0.028,0.0305,0.0067,
"35",764372,-0.0034,0.4873,0.4868,0.0259,604008,0.6362,0.3638,0.2441,0.0496,0.0489,0.0276,0.0023,
"36",769012,0.0026,0.487,0.4817,0.0313,566122,0.5332,0.4668,0.2217,0.137,0.0899,0.0286,0.0068,
"37",764489,-0.0033,0.5027,0.4727,0.0246,594484,0.5771,0.4229,0.2431,0.0921,0.0679,0.0285,0.0028,
"38",764408,-0.0034,0.4731,0.5005,0.0265,586620,0.558,0.442,0.2327,0.1248,0.0651,0.0293,0.004,
"",766987,0.0073,0.4526,0.5257,0.0217,575439,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
