ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0.7391,0.2174,0.0435,0,0,0,0,0,0,0,0,
"1",784019,-0.0008,0.7502,0.2289,0.0209,620876,0.5066,0.4934,0.1817,0.1585,0.145,0.0196,0.0025,
"2",784309,-0.0005,0.6653,0.3133,0.0214,603227,0.5363,0.4637,0.1276,0.0734,0.2507,0.0138,0.002,
"3",785277,0.0008,0.4894,0.4998,0.0107,628420,0.5792,0.4208,0.0415,0.345,0.0215,0.0183,0.0021,
"4",782474,-0.0028,0.4783,0.5091,0.0127,624384,0.5943,0.4057,0.0512,0.3157,0.0262,0.0209,0.0027,
"5",783249,-0.0018,0.487,0.4957,0.0173,587241,0.6727,0.3273,0.1131,0.0702,0.129,0.0174,0.0017,
"6",783602,-0.0014,0.4973,0.4853,0.0174,607222,0.601,0.399,0.0688,0.2427,0.0726,0.0225,0.0039,
"7",788093,0.0044,0.4833,0.5025,0.0142,619633,0.6077,0.3923,0.0635,0.2798,0.0311,0.0219,0.0021,
"8",785109,0.0006,0.4792,0.502,0.0188,635174,0.7646,0.2354,0.0428,0.1242,0.0488,0.0178,0.0012,
"9",787257,0.0033,0.4937,0.4897,0.0166,627591,0.6546,0.3454,0.059,0.2395,0.0309,0.0189,0.0014,
"10",783183,-0.0019,0.4796,0.5051,0.0153,597300,0.5873,0.4127,0.1686,0.1528,0.0799,0.0217,0.0023,
"11",784821,0.0002,0.4874,0.4941,0.0184,593986,0.6399,0.3601,0.0908,0.1721,0.0785,0.0222,0.0023,
"",784672,0.0072,0.5277,0.4555,0.0168,613187,0.6133,0.3867,0.0911,0.1988,0.0823,0.0195,0.0022,
