ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",769345,-0.0015,0.632,0.3508,0.0172,587731,0.6256,0.3744,0.0912,0.0453,0.2014,0.0288,0.0097,
"2",769850,-0.0009,0.4948,0.4906,0.0147,584179,0.7138,0.2862,0.1547,0.0261,0.0509,0.0472,0.0113,
"3",768033,-0.0032,0.7097,0.2753,0.0149,606202,0.5304,0.4696,0.0952,0.0731,0.2731,0.0223,0.0108,
"4",772873,0.003,0.8718,0.1169,0.0114,657309,0.6034,0.3966,0.0814,0.0796,0.2102,0.0236,0.0074,
"5",771211,0.0009,0.495,0.4898,0.0152,609345,0.7455,0.2545,0.1244,0.0252,0.045,0.0523,0.0095,
"6",770085,-0.0006,0.4934,0.4909,0.0157,610063,0.8126,0.1874,0.0617,0.025,0.0398,0.0488,0.0085,
"7",772113,0.0021,0.4948,0.4875,0.0177,587590,0.6498,0.3502,0.1062,0.0928,0.0978,0.0394,0.0277,
"8",770097,-0.0006,0.4948,0.4898,0.0154,593432,0.651,0.349,0.1788,0.0538,0.0754,0.0355,0.0138,
"9",771628,0.0014,0.4923,0.493,0.0147,584068,0.6297,0.3703,0.182,0.0484,0.0991,0.0345,0.0128,
"10",770046,-0.0006,0.4997,0.481,0.0193,604770,0.7769,0.2231,0.0781,0.0293,0.0633,0.0412,0.0115,
"",770528,0.0063,0.5726,0.4118,0.0156,602469,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
