	stcd2	cycle	stateabrev	stcd	dem_share	dem_share_imputed	dpres	incumb	winner_dem	uncontested	votes_dem	votes_rep	votes_dem_est	votes_rep_est	chamber	code	district	year	plan	winner	winner_plan
1	1970s_201	1972	AK	201	0.562	0.562	37.33	1	0	0	53,651	41,750	53,651	41,750	us_house	AK1972	1	1972		R	#N/A
2	1970s_101	1972	AL	101	0.189	0.189	24.27	-1	0	0	24,357	104,606	24,357	104,606	us_house	AL1972	1	1972	AL1	R	R
3	1970s_102	1972	AL	102	0.431	0.431	22.46	-1	0	0	60,769	80,362	60,769	80,362	us_house	AL1972	2	1972	AL1	R	R
4	1970s_103	1972	AL	103	0.786	0.786	25.34	1	1	0	100,045	27,253	100,045	27,253	us_house	AL1972	3	1972	AL1	D	D
5	1970s_104	1972	AL	104	0.699	0.699	22.42	1	1	0	108,039	46,551	108,039	46,551	us_house	AL1972	4	1972	AL1	D	D
6	1970s_105	1972	AL	105	0.752	0.752	25.44	1	1	0	101,303	33,352	101,303	33,352	us_house	AL1972	5	1972	AL1	D	D
7	1970s_106	1972	AL	106	0.373	0.373	27.80	-1	0	0	54,497	91,499	54,497	91,499	us_house	AL1972	6	1972	AL1	R	R
8	1970s_107	1972	AL	107	1.000	0.650	33.96	1	1	1	95,060	0	62,616	33,645	us_house	AL1972	7	1972	AL1	D	D
9	1970s_401	1972	AR	401		0.671	31.42	1	1	1	0	0	114,085	55,894	us_house	AR1972	1	1972		D	#N/A
10	1970s_402	1972	AR	402		0.630	35.93	1	1	1	0	0	120,916	71,133	us_house	AR1972	2	1972		D	#N/A
11	1970s_403	1972	AR	403	0.227	0.227	25.70	-1	0	0	42,481	144,571	42,481	144,571	us_house	AR1972	3	1972		R	#N/A
12	1970s_404	1972	AR	404		0.515	31.36	0	1	1	0	0	76,808	72,408	us_house	AR1972	4	1972		D	#N/A
13	1970s_301	1972	AZ	301	0.427	0.427	32.12	-1	0	0	59,900	80,453	59,900	80,453	us_house	AZ1972	1	1972		R	#N/A
14	1970s_302	1972	AZ	302	0.635	0.635	42.54	1	1	0	97,616	56,188	97,616	56,188	us_house	AZ1972	2	1972		D	#N/A
15	1970s_303	1972	AZ	303	0.370	0.370	28.24	-1	0	0	53,220	90,710	53,220	90,710	us_house	AZ1972	3	1972		R	#N/A
16	1970s_304	1972	AZ	304	0.470	0.470	28.84	0	0	0	73,309	82,511	73,309	82,511	us_house	AZ1972	4	1972		R	#N/A
17	1970s_501	1972	CA	501	0.355	0.355	43.57	-1	0	0	77,610	141,226	77,610	141,226	us_house	CA1972	1	1972	CA1	R	R
18	1970s_502	1972	CA	502	0.705	0.705	44.83	1	1	0	149,590	62,727	149,590	62,727	us_house	CA1972	2	1972	CA1	D	D
19	1970s_503	1972	CA	503	0.699	0.699	50.78	1	1	0	151,706	65,298	151,706	65,298	us_house	CA1972	3	1972	CA1	D	D
20	1970s_504	1972	CA	504	0.674	0.674	45.92	1	1	0	115,038	55,540	115,038	55,540	us_house	CA1972	4	1972	CA1	D	D
21	1970s_505	1972	CA	505	0.819	0.819	64.04	1	1	0	124,164	27,474	124,164	27,474	us_house	CA1972	5	1972	CA1	D	D
22	1970s_506	1972	CA	506	0.479	0.479	47.72	-1	0	0	110,144	119,704	110,144	119,704	us_house	CA1972	6	1972	CA1	R	R
