ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",796370,0.0022,0.3983,0.5806,0.0211,643935,0.6638,0.3362,0.1233,0.014,0.0187,0.1797,0.0035,
"2",797101,0.0031,0.5603,0.4201,0.0196,611858,0.4123,0.5877,0.4923,0.0343,0.0265,0.0533,0.0031,
"3",794200,-0.0005,0.4962,0.4837,0.0202,648787,0.6395,0.3605,0.2284,0.0471,0.0425,0.0467,0.0054,
"4",794773,0.0002,0.4911,0.491,0.0179,575137,0.4312,0.5688,0.4386,0.0755,0.0337,0.0351,0.005,
"5",797381,0.0035,0.4727,0.5107,0.0166,632006,0.7042,0.2958,0.1611,0.0481,0.0591,0.0294,0.0031,
"6",796328,0.0022,0.4635,0.5144,0.0221,612129,0.5596,0.4404,0.2872,0.0744,0.0532,0.0353,0.0042,
"7",791796,-0.0035,0.4822,0.4982,0.0195,579397,0.5373,0.4627,0.2932,0.0847,0.0415,0.0571,0.0051,
"8",791731,-0.0036,0.4849,0.4933,0.0219,597659,0.6123,0.3877,0.2089,0.0606,0.0888,0.0348,0.0057,
"9",791822,-0.0035,0.4817,0.4978,0.0205,641068,0.6404,0.3596,0.2124,0.0576,0.0552,0.0412,0.0048,
"",794611,0.0071,0.479,0.5011,0.02,615775,0.5807,0.4193,0.2688,0.0545,0.0465,0.0576,0.0044,
