ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",761961,0.0025,0.747,0.2218,0.0313,613807,0.6496,0.3504,0.2221,0.0271,0.0705,0.036,0.0067,
"2",759622,-0.0006,0.4285,0.5383,0.0332,596172,0.6779,0.3221,0.1764,0.0201,0.0531,0.0733,0.0055,
"3",759649,-0.0005,0.4461,0.5267,0.0271,600343,0.7044,0.2956,0.1511,0.027,0.0721,0.0446,0.007,
"4",758856,-0.0016,0.4911,0.5044,0.0046,587276,0.6036,0.3964,0.1684,0.0668,0.1304,0.0351,0.0114,
"5",759278,-0.001,0.6702,0.3298,0,575283,0.3498,0.6502,0.2447,0.1379,0.2425,0.0358,0.0234,
"6",758477,-0.0021,0.6371,0.339,0.0239,603077,0.4436,0.5564,0.2633,0.0933,0.1783,0.0354,0.0144,
"7",759779,-0.0004,0.7115,0.2556,0.033,594672,0.3238,0.6762,0.2971,0.1416,0.2218,0.0341,0.0131,
"8",760640,0.0008,0.6422,0.3298,0.028,581432,0.4876,0.5124,0.1756,0.0747,0.2452,0.0237,0.01,
"9",758148,-0.0025,0.6925,0.3075,0,590243,0.2255,0.7745,0.2297,0.0661,0.4627,0.0245,0.0198,
"10",759959,-0.0001,0.8877,0.1123,0,621093,0.352,0.648,0.2115,0.1802,0.2459,0.0306,0.0092,
"11",761389,0.0017,0.8344,0.1656,0,662756,0.3921,0.6079,0.1537,0.0693,0.373,0.0204,0.0076,
"12",760223,0.0002,0.7598,0.2402,0,605924,0.3792,0.6208,0.2319,0.0303,0.3366,0.0213,0.0175,
"13",761899,0.0024,0.7343,0.2502,0.0155,608506,0.5031,0.4969,0.2295,0.0272,0.2222,0.0274,0.006,
"14",760371,0.0004,0.7589,0.2411,0,606260,0.3605,0.6395,0.1417,0.0278,0.4565,0.0165,0.0069,
"15",761049,0.0013,0.674,0.326,0,601559,0.1912,0.8088,0.3165,0.0351,0.4521,0.0283,0.0079,
"16",759970,-0.0001,0.5324,0.4393,0.0283,554058,0.2939,0.7061,0.4291,0.0872,0.1774,0.04,0.0128,
"17",759280,-0.001,0.4234,0.5421,0.0345,558841,0.4027,0.5973,0.4492,0.0392,0.0834,0.0468,0.0107,
"18",760112,0.0001,0.3965,0.5765,0.027,595648,0.5766,0.4234,0.2702,0.0296,0.087,0.0462,0.0062,
"19",761127,0.0014,0.4821,0.4916,0.0263,550503,0.3179,0.6821,0.4742,0.0614,0.1324,0.0417,0.0045,
"20",760025,-0.0001,0.561,0.4108,0.0282,563235,0.3051,0.6949,0.556,0.0393,0.0872,0.0454,0.0078,
"21",760858,0.001,0.3932,0.5823,0.0245,556130,0.2861,0.7139,0.6157,0.0328,0.047,0.0433,0.0037,
"22",760903,0.0011,0.4221,0.5706,0.0073,570017,0.438,0.562,0.3776,0.0973,0.0609,0.0469,0.0078,
"23",760627,0.0007,0.4545,0.5187,0.0268,575401,0.4941,0.5059,0.3607,0.0511,0.0709,0.0384,0.0041,
"24",758155,-0.0025,0.6225,0.3432,0.0343,585843,0.3954,0.6046,0.4873,0.0262,0.0772,0.0438,0.0051,
"25",761998,0.0025,0.5521,0.4281,0.0198,603566,0.5811,0.4189,0.238,0.0316,0.1321,0.0257,0.0047,
"26",760314,0.0003,0.509,0.491,0,572865,0.3752,0.6248,0.405,0.1131,0.0966,0.0361,0.005,
"27",761076,0.0013,0.6466,0.3534,0,608576,0.4133,0.5867,0.4304,0.0443,0.1057,0.0304,0.0032,
"28",759950,-0.0002,0.6288,0.3712,0,602123,0.3338,0.6662,0.4474,0.0571,0.1574,0.0288,0.0037,
"29",760426,0.0005,0.7609,0.2391,0,654573,0.6354,0.3646,0.1361,0.063,0.1497,0.0167,0.0037,
"30",759943,-0.0002,0.7776,0.2224,0,636309,0.2961,0.7039,0.413,0.055,0.2326,0.035,0.0034,
"31",760438,0.0005,0.676,0.3239,0,611058,0.2452,0.7548,0.3628,0.05,0.3407,0.0273,0.0033,
"32",758184,-0.0025,0.5839,0.416,0,597885,0.1637,0.8363,0.5144,0.045,0.2762,0.0336,0.0048,
"33",759844,-0.0003,0.6379,0.3621,0,597201,0.0924,0.9076,0.6563,0.0174,0.2348,0.0392,0.0033,
"34",758432,-0.0021,0.699,0.3009,0,566042,0.0673,0.9327,0.6646,0.1893,0.0767,0.0395,0.0091,
"35",759421,-0.0008,0.733,0.267,0,563799,0.0527,0.9473,0.8118,0.0897,0.047,0.0454,0.0024,
"36",759572,-0.0007,0.8193,0.1807,0,604560,0.182,0.818,0.4286,0.2987,0.0892,0.0341,0.0042,
"37",759158,-0.0012,0.6393,0.3607,0,600756,0.3423,0.6577,0.3098,0.104,0.2334,0.0268,0.0102,
"38",758471,-0.0021,0.652,0.348,0,603318,0.2644,0.7356,0.4142,0.101,0.2116,0.0333,0.0113,
"39",762294,0.0029,0.4795,0.5205,0,611876,0.3708,0.6292,0.2444,0.0231,0.3469,0.0236,0.0088,
"40",761976,0.0025,0.6167,0.3833,0,587469,0.1769,0.8231,0.5839,0.0294,0.205,0.0406,0.0057,
"41",759117,-0.0012,0.5066,0.4934,0,608286,0.607,0.393,0.1784,0.0198,0.1772,0.0199,0.0052,
"42",758467,-0.0021,0.4783,0.5217,0,585905,0.5117,0.4883,0.3126,0.0451,0.1078,0.0362,0.0106,
"43",759789,-0.0004,0.503,0.497,0,595448,0.4154,0.5846,0.2741,0.0245,0.2745,0.0232,0.0054,
"44",759908,-0.0002,0.4585,0.5415,0,584722,0.3493,0.6507,0.4122,0.0755,0.1522,0.0348,0.0054,
"45",761677,0.0021,0.5784,0.4216,0,551117,0.1372,0.8628,0.6759,0.1125,0.0715,0.0414,0.0056,
"46",762404,0.0031,0.5571,0.4429,0,557341,0.1912,0.8088,0.5985,0.1079,0.0962,0.0381,0.0065,
