ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,1,0,0,0,0,0,0,0,0,0,
"1",722116,0.0006,0.6204,0.337,0.0427,585120,0.7947,0.2053,0.1132,0.0166,0.0465,0.0248,0.0025,
"2",720358,-0.0019,0.3887,0.5607,0.0507,550980,0.6911,0.3089,0.1543,0.0766,0.0493,0.0348,0.0076,
"3",722942,0.0017,0.4719,0.4849,0.0432,544507,0.5474,0.4526,0.3498,0.0364,0.0421,0.0414,0.0031,
"4",720279,-0.002,0.4769,0.4789,0.0442,553463,0.7352,0.2648,0.1819,0.0174,0.0373,0.0309,0.0025,
"5",719459,-0.0031,0.4366,0.5227,0.0407,574587,0.7667,0.2333,0.1627,0.0131,0.0144,0.0418,0.0024,
"6",722572,0.0012,0.4647,0.4942,0.0411,562932,0.7756,0.2244,0.1212,0.0225,0.0529,0.0278,0.0027,
"7",722976,0.0017,0.764,0.1997,0.0363,587487,0.5881,0.4119,0.2443,0.0966,0.0525,0.0333,0.0036,
"8",723012,0.0018,0.533,0.4269,0.0401,550500,0.5854,0.4146,0.2118,0.1104,0.0709,0.0337,0.0047,
"",721714,0.0049,0.5218,0.436,0.0423,563697,0.6865,0.3135,0.1916,0.0486,0.0456,0.0335,0.0036,
