ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,1,0,0,0,0,0,0,0,0,0,
"1",771812,0.0034,0.2988,0.6753,0.0259,607448,0.7215,0.2785,0.067,0.1354,0.0423,0.0319,0.0038,
"2",769186,0,0.2948,0.6857,0.0195,641284,0.7832,0.2168,0.0548,0.1196,0.0168,0.0232,0.0016,
"3",772059,0.0037,0.5338,0.4461,0.02,625042,0.618,0.382,0.0884,0.2296,0.0478,0.0182,0.0016,
"4",771810,0.0034,0.3053,0.6755,0.0192,594455,0.7316,0.2684,0.079,0.1237,0.044,0.0212,0.0026,
"5",768804,-0.0005,0.511,0.4689,0.0202,602340,0.4957,0.5043,0.1064,0.3238,0.0617,0.0187,0.0029,
"6",769906,0.0009,0.3571,0.6244,0.0185,629050,0.7157,0.2843,0.126,0.1152,0.0222,0.021,0.0018,
"7",770823,0.0021,0.4119,0.5677,0.0204,639315,0.7372,0.2628,0.118,0.1014,0.0241,0.0197,0.0016,
"8",766400,-0.0037,0.3899,0.5872,0.0229,631481,0.7491,0.2509,0.1003,0.097,0.0318,0.0201,0.0021,
"9",767192,-0.0026,0.5154,0.4603,0.0243,609667,0.5226,0.4774,0.2743,0.1292,0.0698,0.0186,0.0025,
"10",767430,-0.0023,0.622,0.3573,0.0207,599089,0.3788,0.6212,0.2781,0.2882,0.046,0.0183,0.0027,
"11",767551,-0.0022,0.5663,0.4137,0.02,585133,0.3636,0.6364,0.444,0.1174,0.0677,0.0177,0.003,
"12",767207,-0.0026,0.4129,0.5654,0.0217,600436,0.5918,0.4082,0.2255,0.1461,0.0248,0.0215,0.0018,
"13",771210,0.0026,0.3768,0.5986,0.0246,618778,0.7419,0.2581,0.1408,0.0668,0.0307,0.0213,0.0017,
"14",769243,0,0.5148,0.4621,0.0231,585961,0.4721,0.5279,0.2443,0.2165,0.0632,0.0209,0.0024,
"15",767920,-0.0017,0.4952,0.4829,0.0219,622618,0.5782,0.4218,0.2599,0.1045,0.0502,0.0159,0.0019,
"16",769692,0.0006,0.5044,0.4714,0.0241,651269,0.7237,0.2763,0.0975,0.1148,0.044,0.0184,0.0018,
"17",768893,-0.0004,0.4288,0.5514,0.0198,636653,0.7385,0.2615,0.1427,0.0751,0.0267,0.016,0.0013,
"18",769214,0,0.3742,0.6094,0.0163,635033,0.6899,0.3101,0.1987,0.076,0.0213,0.0148,0.0012,
"19",772131,0.0038,0.3558,0.6273,0.0169,655026,0.7528,0.2472,0.1618,0.0532,0.0172,0.0138,0.0011,
"20",769187,0,0.4217,0.5621,0.0163,619323,0.6344,0.3656,0.1794,0.1517,0.0195,0.017,0.0016,
"21",767107,-0.0027,0.5581,0.4278,0.0141,608627,0.491,0.509,0.2719,0.1968,0.0358,0.018,0.0019,
"22",768436,-0.001,0.5713,0.416,0.0127,633141,0.6445,0.3555,0.1525,0.1357,0.0416,0.0093,0.0013,
"23",769904,0.0009,0.6827,0.3047,0.0126,620761,0.3793,0.6207,0.2352,0.3312,0.0373,0.0114,0.0019,
"24",767440,-0.0023,0.6842,0.3022,0.0136,612654,0.344,0.656,0.3216,0.2959,0.0416,0.0128,0.0019,
"25",771013,0.0023,0.5249,0.461,0.014,613795,0.1343,0.8657,0.7534,0.0811,0.041,0.0076,0.001,
"26",767951,-0.0016,0.7416,0.2459,0.0125,613422,0.1429,0.8571,0.4888,0.3671,0.0174,0.0082,0.0011,
"27",771056,0.0024,0.547,0.4383,0.0147,640039,0.1964,0.8036,0.6998,0.0831,0.0271,0.0094,0.001,
"28",767610,-0.0021,0.5129,0.4713,0.0158,607392,0.1615,0.8385,0.7218,0.1049,0.0229,0.0114,0.001,
"",769219,0.0075,0.4745,0.5065,0.019,619258,0.5465,0.4535,0.2499,0.1554,0.0368,0.017,0.0018,
