ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",762609,-0.0033,0.5092,0.4747,0.0161,0,0,0,0,0,0,0,0,
"2",765033,-0.0001,0.4681,0.5219,0.01,0,0,0,0,0,0,0,0,
"3",765117,0,0.4924,0.492,0.0155,0,0,0,0,0,0,0,0,
"4",764382,-0.001,0.8075,0.1757,0.0168,0,0,0,0,0,0,0,0,
"5",764344,-0.001,0.6286,0.3519,0.0195,0,0,0,0,0,0,0,0,
"6",764331,-0.0011,0.5737,0.4084,0.0179,0,0,0,0,0,0,0,0,
"7",767943,0.0037,0.2345,0.745,0.0205,0,0,0,0,0,0,0,0,
"8",764777,-0.0005,0.3108,0.677,0.0122,0,0,0,0,0,0,0,0,
"9",764793,-0.0004,0.5142,0.4623,0.0235,0,0,0,0,0,0,0,0,
"10",765680,0.0007,0.4193,0.5688,0.012,0,0,0,0,0,0,0,0,
"11",766149,0.0013,0.5173,0.4582,0.0246,0,0,0,0,0,0,0,0,
"12",764319,-0.0011,0.3087,0.6727,0.0185,0,0,0,0,0,0,0,0,
"13",764575,-0.0007,0.5328,0.4518,0.0154,0,0,0,0,0,0,0,0,
"14",767856,0.0036,0.2279,0.7505,0.0216,0,0,0,0,0,0,0,0,
"",765136,0.007,0.4718,0.5106,0.0175,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
