ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",752283,-0.0018,0.4497,0.506,0.0443,588825,0.7672,0.2328,0.034,0.1547,0.0183,0.0216,0.0014,
"2",754785,0.0015,0.2925,0.6669,0.0407,590665,0.8862,0.1138,0.0217,0.0568,0.0102,0.0195,0.001,
"3",752636,-0.0014,0.4393,0.5095,0.0513,590198,0.7399,0.2601,0.0644,0.1191,0.0574,0.0178,0.001,
"4",756641,0.0039,0.3617,0.5874,0.051,595149,0.8743,0.1257,0.0272,0.0613,0.0142,0.0185,0.0014,
"5",752240,-0.0019,0.4437,0.5084,0.0479,586103,0.7756,0.2244,0.0952,0.0871,0.0214,0.02,0.0009,
"6",755904,0.003,0.4666,0.4842,0.0492,575960,0.7223,0.2777,0.1789,0.038,0.0435,0.0223,0.001,
"7",751724,-0.0026,0.4624,0.4874,0.0502,568251,0.7042,0.2958,0.1611,0.0879,0.0298,0.0221,0.001,
"8",751892,-0.0024,0.517,0.4369,0.0461,586770,0.678,0.322,0.1451,0.0458,0.1188,0.0158,0.0012,
"9",755932,0.003,0.5387,0.4138,0.0475,570564,0.6129,0.3871,0.1619,0.1068,0.1065,0.0165,0.001,
"10",754291,0.0008,0.7386,0.2158,0.0455,583393,0.3294,0.6706,0.149,0.5,0.0183,0.016,0.0011,
"11",753915,0.0003,0.6284,0.3237,0.0479,570583,0.4109,0.5891,0.4732,0.0832,0.0288,0.0371,0.001,
"12",754779,0.0015,0.8697,0.0803,0.05,607604,0.1794,0.8206,0.1418,0.574,0.1052,0.0173,0.0013,
"13",752623,-0.0014,0.836,0.1154,0.0486,581441,0.2627,0.7373,0.439,0.2571,0.0456,0.0349,0.0018,
"14",751862,-0.0024,0.7931,0.1682,0.0387,644918,0.637,0.363,0.1191,0.1102,0.1232,0.0148,0.0015,
"15",754236,0.0007,0.626,0.3319,0.042,591065,0.5934,0.4066,0.1911,0.0943,0.1152,0.0168,0.0012,
"16",753835,0.0002,0.5552,0.4028,0.0419,593398,0.6145,0.3855,0.1663,0.0354,0.1754,0.017,0.0011,
"17",752930,-0.001,0.543,0.4148,0.0422,574582,0.6237,0.3763,0.2062,0.0714,0.085,0.0219,0.0017,
"",753677,0.0065,0.5549,0.399,0.0461,588204,0.6124,0.3876,0.162,0.1468,0.0662,0.0205,0.0012,
