ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",756387,0.0032,0.5435,0.4294,0.0272,582549,0.6236,0.3764,0.1422,0.1775,0.0403,0.0204,0.0056,
"2",751058,-0.0038,0.5097,0.4569,0.0334,577518,0.7327,0.2673,0.085,0.1258,0.0329,0.0213,0.0013,
"3",752542,-0.0019,0.3082,0.6609,0.0309,559397,0.8506,0.1494,0.0793,0.0318,0.0171,0.0189,0.0009,
"4",751497,-0.0033,0.3183,0.6469,0.0348,575501,0.8687,0.1313,0.043,0.0454,0.0187,0.0201,0.0011,
"5",756599,0.0035,0.4843,0.4836,0.0321,576296,0.7551,0.2449,0.055,0.1274,0.044,0.0164,0.0011,
"6",755426,0.002,0.2985,0.6666,0.0348,580080,0.9101,0.0899,0.0267,0.0258,0.0145,0.019,0.0009,
"7",754812,0.0011,0.6044,0.3624,0.0332,568541,0.5434,0.4566,0.1163,0.2764,0.0483,0.0212,0.0014,
"8",755787,0.0024,0.4575,0.5121,0.0304,596681,0.8465,0.1535,0.0325,0.0676,0.029,0.0199,0.0017,
"9",751420,-0.0034,0.297,0.6724,0.0306,576016,0.9138,0.0862,0.0299,0.0161,0.0156,0.02,0.0009,
"",753948,0.0073,0.4208,0.5472,0.0319,576953,0.783,0.217,0.0676,0.0992,0.0289,0.0197,0.0017,
