ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",782008,0.0012,0.6776,0.2992,0.0232,628688,0.636,0.364,0.1876,0.108,0.0606,0.0177,0.0018,
"2",778289,-0.0036,0.4697,0.5038,0.0265,624521,0.8528,0.1472,0.0589,0.0311,0.0342,0.0126,0.001,
"3",779920,-0.0015,0.4794,0.4946,0.026,625783,0.8352,0.1648,0.0643,0.035,0.0423,0.0111,0.0011,
"4",778715,-0.0031,0.4762,0.5019,0.0219,629959,0.8767,0.1233,0.0313,0.0371,0.0248,0.011,0.001,
"5",782961,0.0024,0.6157,0.3601,0.0242,605611,0.6179,0.3821,0.189,0.0592,0.1067,0.0132,0.0016,
"6",782068,0.0012,0.6811,0.2975,0.0213,647919,0.6289,0.3711,0.1923,0.077,0.0863,0.0132,0.0014,
"7",781348,0.0003,0.6971,0.2822,0.0208,632483,0.6955,0.3045,0.0653,0.0639,0.148,0.0078,0.0011,
"8",782847,0.0022,0.7505,0.2311,0.0184,639619,0.5286,0.4714,0.122,0.2091,0.1421,0.011,0.0018,
"9",781761,0.0008,0.6123,0.3682,0.0195,629140,0.6706,0.3294,0.077,0.1491,0.0659,0.0134,0.0016,
"",781102,0.006,0.6001,0.3774,0.0225,629303,0.7043,0.2957,0.1097,0.0859,0.0791,0.0123,0.0014,
