ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",774260,0.003,0.8901,0.0907,0.0192,603072,0.1042,0.8958,0.2006,0.6503,0.0502,0.0242,0.0017,
"2",769599,-0.003,0.4933,0.4808,0.0259,600441,0.5858,0.4142,0.0517,0.3136,0.0332,0.0223,0.0019,
"3",773551,0.0021,0.8174,0.1555,0.0271,615466,0.3018,0.6982,0.0634,0.5789,0.0512,0.0154,0.0013,
"4",769571,-0.003,0.4871,0.4799,0.0331,599702,0.6235,0.3765,0.0606,0.2294,0.07,0.0189,0.0013,
"5",770381,-0.002,0.4905,0.4791,0.0304,598743,0.6471,0.3529,0.1063,0.1343,0.0974,0.0191,0.0016,
"6",772863,0.0012,0.7587,0.2138,0.0274,600372,0.4423,0.5577,0.1909,0.2004,0.1584,0.0177,0.0017,
"7",769850,-0.0027,0.4869,0.4777,0.0354,596513,0.6444,0.3556,0.0605,0.1627,0.1171,0.0171,0.0016,
"8",775328,0.0044,0.4879,0.4796,0.0324,600893,0.6486,0.3514,0.0839,0.2011,0.0493,0.0209,0.002,
"",771923,0.0075,0.6033,0.3675,0.0292,601900,0.4987,0.5013,0.1022,0.3101,0.0782,0.0194,0.0016,
