ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,NaN,0,0,0,0,0,0,0,0,0,0,0,
"1",0,NaN,0.448,0.5205,0.0314,600555,0.8132,0.1868,0.0536,0.0816,0.0208,0.0249,0.001,
"2",0,NaN,0.47,0.4975,0.0326,593154,0.7649,0.2351,0.0865,0.0959,0.0336,0.0199,0.0011,
"3",0,NaN,0.3998,0.5724,0.0278,621271,0.887,0.113,0.0237,0.0243,0.0117,0.0463,0.001,
"4",0,NaN,0.4041,0.5665,0.0294,605515,0.8506,0.1494,0.0566,0.0445,0.0176,0.0246,0.001,
"5",0,NaN,0.5006,0.4712,0.0282,607427,0.7657,0.2343,0.0417,0.1498,0.0149,0.0235,0.0009,
"6",0,NaN,0.4872,0.4873,0.0255,616673,0.7673,0.2327,0.0238,0.1346,0.0518,0.0173,0.0008,
"7",0,NaN,0.3546,0.6171,0.0283,624061,0.9155,0.0845,0.0286,0.0179,0.0085,0.0213,0.0007,
"8",0,NaN,0.5814,0.3956,0.023,615136,0.6778,0.3222,0.0441,0.1788,0.081,0.0155,0.0008,
"9",0,NaN,0.5028,0.4668,0.0304,609384,0.7847,0.2153,0.0519,0.1016,0.0364,0.0234,0.0011,
"10",0,NaN,0.7518,0.2247,0.0236,585383,0.436,0.564,0.0861,0.427,0.0384,0.0187,0.0011,
"11",0,NaN,0.6812,0.296,0.0228,597455,0.4909,0.5091,0.0294,0.4134,0.0512,0.0168,0.0008,
"12",0,NaN,0.537,0.4363,0.0267,614506,0.7749,0.2251,0.0485,0.1113,0.0369,0.0242,0.0011,
"13",0,NaN,0.5097,0.4673,0.023,624082,0.787,0.213,0.0333,0.0659,0.09,0.0161,0.001,
"",0,NaN,0.5048,0.4681,0.0271,608816,0.7491,0.2509,0.0465,0.1404,0.038,0.0225,0.0009,
