ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",711410,-0.0027,0.3495,0.6052,0.0453,544504,0.8954,0.1046,0.0353,0.0302,0.0132,0.0195,0.0015,
"2",712737,-0.0008,0.4355,0.5086,0.0558,545058,0.8478,0.1522,0.0326,0.048,0.0375,0.0267,0.0012,
"3",716537,0.0045,0.4551,0.4972,0.0478,556671,0.8791,0.1209,0.0306,0.0199,0.0147,0.0508,0.0013,
"4",711473,-0.0026,0.5219,0.4313,0.0468,544015,0.8229,0.1771,0.0367,0.053,0.0675,0.0139,0.001,
"5",716081,0.0039,0.6478,0.2969,0.0552,549090,0.6737,0.3263,0.0635,0.1116,0.1311,0.0205,0.0015,
"6",711429,-0.0026,0.7731,0.1726,0.0543,566165,0.6248,0.3752,0.085,0.183,0.0843,0.0273,0.0017,
"7",712568,-0.001,0.4923,0.4555,0.0522,532073,0.7994,0.2006,0.0609,0.0587,0.0593,0.0168,0.0014,
"8",714259,0.0013,0.4605,0.488,0.0515,551457,0.8584,0.1416,0.0532,0.0365,0.0321,0.0139,0.0015,
"",713312,0.0072,0.5173,0.4316,0.0511,548629,0.7995,0.2005,0.0498,0.0681,0.055,0.0238,0.0014,
