ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",767949,-0.0018,0.7482,0.2253,0.0266,609257,0.446,0.554,0.0414,0.4531,0.0423,0.0188,0.0012,
"2",769631,0.0003,0.4874,0.4873,0.0253,605378,0.8412,0.1588,0.0284,0.0472,0.0602,0.0163,0.0009,
"3",770639,0.0017,0.3578,0.6105,0.0317,592245,0.8576,0.1424,0.0271,0.0591,0.0234,0.0252,0.0014,
"4",768966,-0.0005,0.2397,0.7301,0.0301,594116,0.8801,0.1199,0.0338,0.0313,0.0135,0.0327,0.0028,
"5",766593,-0.0036,0.5768,0.3913,0.0319,590992,0.6347,0.3653,0.089,0.2177,0.0276,0.0315,0.0039,
"6",770806,0.0019,0.3622,0.6058,0.0321,591111,0.8481,0.1519,0.0427,0.0548,0.0206,0.0272,0.0035,
"7",771352,0.0026,0.277,0.6921,0.0309,597570,0.8503,0.1497,0.0495,0.0262,0.019,0.0458,0.0044,
"8",768977,-0.0005,0.2693,0.7034,0.0273,594943,0.8863,0.1137,0.0188,0.0458,0.0094,0.0303,0.0009,
"",769364,0.0062,0.4153,0.5553,0.0294,596952,0.7797,0.2203,0.0413,0.1177,0.0271,0.0284,0.0024,
