ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",744475,-0.0016,0.2984,0.6782,0.0234,594286,0.8226,0.1774,0.062,0.0807,0.0135,0.0206,0.001,
"2",743474,-0.0029,0.3147,0.6625,0.0228,585956,0.7678,0.2322,0.0656,0.1206,0.0227,0.0244,0.001,
"3",746376,0.0009,0.4393,0.5361,0.0246,609666,0.8433,0.1567,0.0613,0.0441,0.0127,0.0352,0.0022,
"4",748284,0.0035,0.3162,0.6604,0.0234,576265,0.7307,0.2693,0.0854,0.1356,0.0264,0.0242,0.001,
"5",746312,0.0009,0.4207,0.5582,0.021,595947,0.6571,0.3429,0.0772,0.1745,0.0124,0.082,0.0014,
"6",747588,0.0026,0.6888,0.2858,0.0254,569449,0.3678,0.6322,0.1591,0.4008,0.0653,0.0208,0.0015,
"7",748138,0.0033,0.3958,0.5828,0.0214,594624,0.6612,0.3388,0.0693,0.2276,0.0209,0.0229,0.0034,
"8",747004,0.0018,0.5508,0.4244,0.0249,560257,0.5872,0.4128,0.1209,0.2316,0.0449,0.0217,0.0014,
"9",742824,-0.0038,0.5265,0.4572,0.0164,580159,0.5128,0.4872,0.0687,0.3883,0.0146,0.022,0.0014,
"10",743146,-0.0034,0.6361,0.3394,0.0244,574896,0.5768,0.4232,0.0955,0.2088,0.1066,0.0172,0.0014,
"11",747526,0.0025,0.4972,0.4794,0.0234,568029,0.5516,0.4484,0.1069,0.2849,0.0297,0.0376,0.0046,
"12",743236,-0.0033,0.4826,0.4938,0.0236,571930,0.6747,0.3253,0.0857,0.1613,0.0551,0.0241,0.0012,
"13",747066,0.0019,0.6411,0.3394,0.0195,591340,0.5635,0.4365,0.0915,0.2793,0.0513,0.0214,0.0011,
"14",743939,-0.0023,0.5655,0.4115,0.023,582295,0.5683,0.4317,0.1,0.2705,0.0472,0.0213,0.0014,
"",745671,0.0073,0.483,0.4944,0.0226,582507,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
