ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",776294,0.0035,0.6389,0.3421,0.019,604766,0.5957,0.4043,0.127,0.2032,0.069,0.0159,0.0016,
"2",775937,0.003,0.4899,0.4863,0.0239,616128,0.6866,0.3134,0.1332,0.1315,0.0381,0.0195,0.0014,
"3",772197,-0.0018,0.4737,0.5053,0.021,624911,0.66,0.34,0.1379,0.1511,0.0443,0.0167,0.0018,
"4",774673,0.0014,0.4723,0.5072,0.0204,584252,0.7184,0.2816,0.1044,0.0841,0.0813,0.0115,0.001,
"5",771512,-0.0027,0.4832,0.4961,0.0208,609896,0.6652,0.3348,0.1094,0.0641,0.1477,0.0102,0.0011,
"6",775282,0.0022,0.6904,0.288,0.0216,603237,0.2755,0.7245,0.3217,0.2072,0.2011,0.0172,0.0018,
"7",770794,-0.0036,0.485,0.4917,0.0233,610815,0.6741,0.3259,0.1266,0.0713,0.1176,0.0121,0.0011,
"8",775090,0.0019,0.4863,0.4912,0.0226,612404,0.6972,0.3028,0.1306,0.0615,0.1,0.0105,0.0009,
"9",773489,-0.0001,0.833,0.1523,0.0147,589913,0.2333,0.7667,0.2438,0.463,0.0588,0.0151,0.0018,
"10",772248,-0.0017,0.543,0.4376,0.0195,597432,0.5318,0.4682,0.3029,0.0979,0.0762,0.016,0.0014,
"11",774479,0.0012,0.6004,0.3817,0.018,612859,0.5,0.5,0.2258,0.0836,0.1941,0.0119,0.0014,
"12",771021,-0.0033,0.7566,0.222,0.0214,614697,0.2905,0.7095,0.4046,0.1337,0.1786,0.0207,0.0024,
"",773585,0.0071,0.5624,0.4169,0.0207,606776,0.5447,0.4553,0.1972,0.1453,0.109,0.0148,0.0015,
