ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",777491,0.0007,0.5924,0.4076,0,0,0,0,0,0,0,0,0,
"2",779787,0.0036,0.3796,0.6203,0,0,0,0,0,0,0,0,0,
"3",777532,0.0007,0.5881,0.4119,0,0,0,0,0,0,0,0,0,
"4",778997,0.0026,0.4578,0.5422,0,0,0,0,0,0,0,0,0,
"5",774440,-0.0033,0.5028,0.4972,0,0,0,0,0,0,0,0,0,
"6",777491,0.0007,0.4474,0.5526,0,0,0,0,0,0,0,0,0,
"7",774344,-0.0034,0.5927,0.4073,0,0,0,0,0,0,0,0,0,
"8",778591,0.0021,0.4418,0.5582,0,0,0,0,0,0,0,0,0,
"9",775141,-0.0024,0.4874,0.5126,0,0,0,0,0,0,0,0,0,
"10",774714,-0.0029,0.5149,0.4851,0,0,0,0,0,0,0,0,0,
"11",778427,0.0019,0.4374,0.5626,0,0,0,0,0,0,0,0,0,
"12",777254,0.0004,0.462,0.538,0,0,0,0,0,0,0,0,0,
"13",775993,-0.0013,0.403,0.597,0,0,0,0,0,0,0,0,0,
"14",777109,0.0002,0.5861,0.4139,0,0,0,0,0,0,0,0,0,
"15",778455,0.0019,0.3614,0.6386,0,0,0,0,0,0,0,0,0,
"16",779799,0.0036,0.3392,0.6608,0,0,0,0,0,0,0,0,0,
"17",774373,-0.0033,0.6564,0.3436,0,0,0,0,0,0,0,0,0,
"18",776681,-0.0004,0.7478,0.2522,0,0,0,0,0,0,0,0,0,
"19",778234,0.0016,0.5682,0.4318,0,0,0,0,0,0,0,0,0,
"20",779744,0.0036,0.8746,0.1254,0,0,0,0,0,0,0,0,0,
"21",779498,0.0033,0.8174,0.1826,0,0,0,0,0,0,0,0,0,
"22",775044,-0.0025,0.8139,0.1861,0,0,0,0,0,0,0,0,0,
"23",774263,-0.0035,0.8459,0.1541,0,0,0,0,0,0,0,0,0,
"24",774318,-0.0034,0.7407,0.2593,0,0,0,0,0,0,0,0,0,
"25",775718,-0.0016,0.7103,0.2897,0,0,0,0,0,0,0,0,0,
"26",777811,0.0011,0.799,0.201,0,0,0,0,0,0,0,0,0,
"",776971,0.0071,0.5631,0.4369,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
