ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",785069,-0.002,0.5408,0.4378,0.0215,610968,0.654,0.346,0.0352,0.2608,0.0328,0.0167,0.0014,
"2",788104,0.0019,0.3492,0.6279,0.0228,611151,0.8987,0.1013,0.0147,0.0443,0.0164,0.0209,0.0008,
"3",788446,0.0023,0.5853,0.3929,0.0217,620630,0.7243,0.2757,0.0566,0.133,0.0683,0.0181,0.0014,
"4",787529,0.0011,0.2506,0.7272,0.0222,603218,0.9024,0.0976,0.0322,0.0328,0.0105,0.0173,0.0015,
"5",787203,0.0007,0.5237,0.4532,0.0232,627855,0.8052,0.1948,0.071,0.0761,0.0315,0.0165,0.0011,
"6",789605,0.0038,0.3634,0.6125,0.0242,623606,0.8917,0.1083,0.0185,0.0547,0.0084,0.0204,0.0007,
"7",783845,-0.0035,0.3213,0.6538,0.0249,603519,0.9054,0.0946,0.0214,0.0352,0.0141,0.0179,0.0009,
"8",786115,-0.0007,0.3282,0.6504,0.0214,599099,0.819,0.181,0.0381,0.0655,0.0541,0.0199,0.0016,
"9",784809,-0.0023,0.5053,0.4682,0.0265,615476,0.775,0.225,0.0563,0.1295,0.0186,0.0195,0.0008,
"10",783935,-0.0034,0.4559,0.521,0.0231,614915,0.7365,0.2635,0.032,0.1788,0.0297,0.0218,0.0016,
"11",789340,0.0034,0.7413,0.2412,0.0175,625292,0.4707,0.5293,0.0546,0.4285,0.0393,0.0138,0.0011,
"12",784435,-0.0028,0.569,0.4114,0.0196,585597,0.6093,0.3907,0.0492,0.2621,0.063,0.0186,0.0013,
"13",786230,-0.0005,0.5022,0.4741,0.0237,625520,0.8066,0.1934,0.0191,0.1148,0.0361,0.018,0.0008,
"14",787544,0.0012,0.4611,0.516,0.0229,630429,0.8429,0.1571,0.0349,0.0882,0.0118,0.0176,0.0008,
"15",787239,0.0008,0.288,0.6913,0.0207,610287,0.9185,0.0815,0.0131,0.0318,0.0086,0.0227,0.0007,
"",786629,0.0073,0.4535,0.5241,0.0224,613837,0.784,0.216,0.0365,0.1291,0.0294,0.0186,0.0011,
