ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",765356,0.0006,0.4991,0.4813,0.0196,611220,0.8464,0.1536,0.0481,0.0403,0.0494,0.0111,0.0008,
"2",764595,-0.0004,0.7846,0.1985,0.0169,619081,0.4961,0.5039,0.1952,0.1816,0.126,0.0136,0.0022,
"3",766186,0.0017,0.8245,0.1622,0.0133,608363,0.3696,0.6304,0.0787,0.4807,0.071,0.0134,0.0016,
"4",763861,-0.0013,0.5969,0.3849,0.0182,600807,0.7624,0.2376,0.0536,0.0845,0.0873,0.0109,0.001,
"5",766015,0.0015,0.6931,0.2928,0.0141,592959,0.5166,0.4834,0.0376,0.3786,0.061,0.0117,0.0011,
"6",764069,-0.001,0.4923,0.4844,0.0232,584361,0.8197,0.1803,0.0623,0.0519,0.0519,0.0114,0.0009,
"7",762691,-0.0028,0.4966,0.4798,0.0236,602515,0.7305,0.2695,0.1607,0.0722,0.0343,0.0139,0.0012,
"8",765868,0.0013,0.4981,0.4802,0.0218,615671,0.7847,0.2153,0.1084,0.075,0.0243,0.0139,0.0012,
"9",766209,0.0018,0.3352,0.6393,0.0255,614284,0.8931,0.1069,0.046,0.0325,0.0118,0.0136,0.001,
"10",764636,-0.0003,0.2837,0.6921,0.0241,602310,0.9078,0.0922,0.035,0.0276,0.0105,0.0155,0.0009,
"11",765320,0.0006,0.4897,0.4836,0.0266,593349,0.7001,0.2999,0.1844,0.0889,0.0287,0.016,0.0015,
"12",764300,-0.0007,0.4938,0.4839,0.0224,626396,0.8379,0.1621,0.0169,0.1038,0.0236,0.0123,0.0007,
"13",766202,0.0017,0.2997,0.6769,0.0233,617647,0.9284,0.0716,0.0149,0.0257,0.0081,0.0146,0.0007,
"14",766435,0.0021,0.4932,0.4835,0.0233,620121,0.8675,0.1325,0.0193,0.0592,0.0343,0.013,0.0009,
"15",764119,-0.001,0.481,0.493,0.026,613711,0.7684,0.2316,0.0581,0.0984,0.0628,0.0133,0.0015,
"16",763178,-0.0022,0.4388,0.5368,0.0243,609842,0.88,0.12,0.0212,0.0606,0.0139,0.0156,0.0008,
"17",763660,-0.0016,0.5261,0.4489,0.025,620911,0.8259,0.1741,0.0201,0.0967,0.0402,0.0115,0.0008,
"",764865,0.0049,0.5131,0.4651,0.0218,609032,0.7615,0.2385,0.068,0.1148,0.0434,0.0132,0.0011,
