ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",765856,-0.0026,0.2654,0.7176,0.017,596406,0.8693,0.1307,0.0412,0.0482,0.014,0.0242,0.0011,
"2",770909,0.004,0.49,0.489,0.0209,595552,0.5428,0.4572,0.0322,0.3976,0.0107,0.0177,0.0011,
"3",770876,0.0039,0.4884,0.4933,0.0183,589595,0.4996,0.5004,0.0736,0.3746,0.0384,0.0165,0.0012,
"4",769924,0.0027,0.2374,0.7462,0.0165,617358,0.8994,0.1006,0.0313,0.0299,0.0107,0.0249,0.0011,
"5",767314,-0.0007,0.3465,0.6324,0.0211,608357,0.837,0.163,0.0471,0.0638,0.0234,0.0256,0.0012,
"6",766132,-0.0023,0.3255,0.6563,0.0183,607137,0.7997,0.2003,0.051,0.1022,0.018,0.0278,0.0011,
"7",765421,-0.0032,0.6123,0.3511,0.0366,611664,0.6017,0.3983,0.1093,0.2275,0.0444,0.0211,0.0014,
"8",765267,-0.0034,0.3126,0.6689,0.0185,584877,0.7849,0.2151,0.0644,0.1006,0.0238,0.0247,0.0013,
"9",769141,0.0017,0.3382,0.6388,0.023,573527,0.7759,0.2241,0.0612,0.1063,0.0316,0.023,0.0028,
"",767871,0.0073,0.3793,0.5995,0.0211,598275,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
