ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",765849,-0.0015,0.5563,0.42,0.0237,579887,0.394,0.606,0.3134,0.1826,0.0959,0.0287,0.0017,
"2",768436,0.0019,0.553,0.425,0.022,612121,0.4465,0.5535,0.2893,0.1194,0.1316,0.025,0.0018,
"3",766063,-0.0012,0.678,0.2909,0.0311,574818,0.136,0.864,0.7972,0.0438,0.0228,0.0247,0.0034,
"4",768055,0.0014,0.2497,0.7287,0.0215,577130,0.54,0.46,0.3376,0.0702,0.0303,0.0305,0.0013,
"5",765335,-0.0022,0.6244,0.3555,0.0201,537170,0.0757,0.9243,0.9014,0.0072,0.0146,0.0152,0.0004,
"6",767675,0.0009,0.4556,0.5183,0.0261,577374,0.5348,0.4652,0.1919,0.1303,0.1212,0.0292,0.0022,
"7",766118,-0.0011,0.477,0.4981,0.0248,575033,0.5027,0.4973,0.1315,0.1146,0.2322,0.0215,0.002,
"8",769432,0.0032,0.2676,0.712,0.0204,568875,0.6938,0.3062,0.1503,0.0878,0.0327,0.0379,0.0019,
"9",768310,0.0017,0.2517,0.7335,0.0149,587813,0.6498,0.3502,0.1357,0.1728,0.0143,0.0294,0.0013,
"10",768694,0.0022,0.7327,0.2481,0.0192,551655,0.16,0.84,0.5537,0.2531,0.0271,0.0331,0.0015,
"11",768579,0.0021,0.4818,0.5006,0.0176,567304,0.4462,0.5538,0.2182,0.3038,0.0135,0.0286,0.0015,
"12",767258,0.0004,0.4869,0.4898,0.0233,579083,0.4472,0.5528,0.2232,0.2131,0.0991,0.0274,0.0045,
"13",767476,0.0006,0.4817,0.4952,0.0231,565141,0.432,0.568,0.328,0.1621,0.0602,0.0277,0.0029,
"14",764647,-0.0031,0.1862,0.7967,0.0171,581263,0.7319,0.2681,0.1685,0.0472,0.0197,0.0337,0.002,
"15",766583,-0.0005,0.4906,0.4879,0.0215,565053,0.3025,0.6975,0.5691,0.1003,0.0208,0.0294,0.0032,
"16",764861,-0.0028,0.621,0.352,0.0269,570015,0.2295,0.7705,0.6335,0.0847,0.0507,0.03,0.0037,
"17",764030,-0.0039,0.4875,0.4875,0.025,591151,0.4248,0.5752,0.4342,0.0784,0.0539,0.0279,0.0037,
"18",765137,-0.0024,0.4809,0.4992,0.0199,560451,0.2131,0.7869,0.7559,0.015,0.0085,0.0192,0.0013,
"19",769401,0.0031,0.2067,0.7751,0.0182,602972,0.7202,0.2798,0.1887,0.0469,0.0147,0.0302,0.0039,
"20",764141,-0.0037,0.2263,0.7549,0.0189,564859,0.5045,0.4955,0.3964,0.0603,0.0203,0.027,0.0022,
"21",764949,-0.0027,0.376,0.6018,0.0222,570295,0.5859,0.4141,0.2241,0.1269,0.0385,0.0308,0.003,
"22",769687,0.0035,0.2983,0.6877,0.014,580651,0.5788,0.4212,0.1952,0.1807,0.0239,0.0254,0.0011,
"23",766701,-0.0004,0.2796,0.702,0.0184,599792,0.6085,0.3915,0.1955,0.1452,0.0311,0.0245,0.0013,
"24",769563,0.0034,0.6123,0.3683,0.0194,553428,0.2383,0.7617,0.4709,0.2557,0.0287,0.0286,0.0033,
"25",769464,0.0032,0.4917,0.4884,0.0199,566828,0.2934,0.7066,0.5267,0.1167,0.0547,0.028,0.0015,
"26",764690,-0.003,0.3493,0.6339,0.0167,584382,0.4365,0.5635,0.4702,0.058,0.022,0.0226,0.0015,
"27",767753,0.001,0.762,0.2182,0.0197,595884,0.2198,0.7802,0.386,0.3049,0.0882,0.0222,0.0018,
"28",765314,-0.0022,0.5707,0.4107,0.0186,550293,0.1211,0.8789,0.8523,0.0139,0.0085,0.0146,0.0008,
"29",769392,0.0031,0.4832,0.4971,0.0197,562569,0.3365,0.6635,0.3396,0.2225,0.0927,0.0274,0.002,
"30",766629,-0.0005,0.5056,0.4722,0.0222,593348,0.3861,0.6139,0.3524,0.1315,0.1229,0.0249,0.0016,
"31",766772,-0.0003,0.7636,0.206,0.0304,612418,0.4557,0.5443,0.3194,0.1167,0.0972,0.0274,0.0024,
"32",764483,-0.0033,0.5898,0.3801,0.0301,589595,0.5706,0.4294,0.2912,0.0483,0.0713,0.0279,0.0062,
"33",765035,-0.0025,0.4576,0.5116,0.0308,569830,0.5716,0.4284,0.2546,0.0746,0.0785,0.0286,0.0027,
"34",766968,0,0.2526,0.7276,0.0197,578360,0.6265,0.3735,0.2259,0.0871,0.0356,0.0287,0.0021,
"35",769211,0.0029,0.3623,0.616,0.0217,576974,0.5342,0.4658,0.2179,0.196,0.0332,0.0296,0.0072,
"36",768614,0.0021,0.4095,0.5697,0.0208,575594,0.4886,0.5114,0.2629,0.1723,0.0591,0.0259,0.0017,
"37",767844,0.0011,0.5079,0.4736,0.0185,557264,0.3322,0.6678,0.2162,0.1954,0.2484,0.0163,0.0015,
"38",766356,-0.0008,0.4873,0.4925,0.0202,560027,0.3344,0.6656,0.3302,0.1924,0.1351,0.0257,0.0019,
"",766987,0.0074,0.4526,0.5257,0.0217,575439,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
