ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0.7391,0.2174,0.0435,0,0,0,0,0,0,0,0,
"1",787392,0.0035,0.4878,0.495,0.0173,611222,0.6101,0.3899,0.068,0.2349,0.0721,0.0222,0.0039,
"2",782283,-0.003,0.6425,0.3413,0.0163,626832,0.4954,0.5046,0.0635,0.3701,0.0583,0.0179,0.0018,
"3",782017,-0.0034,0.3112,0.678,0.0108,637234,0.8232,0.1768,0.0249,0.1142,0.0195,0.0165,0.0009,
"4",784701,0,0.6537,0.3303,0.016,615536,0.4321,0.5679,0.0686,0.4483,0.0416,0.0231,0.0039,
"5",785006,0.0004,0.4306,0.553,0.0163,606268,0.6897,0.3103,0.0708,0.1803,0.0383,0.0241,0.0025,
"6",781976,-0.0034,0.3601,0.6241,0.0158,626830,0.7977,0.2023,0.0337,0.1282,0.0192,0.0195,0.0011,
"7",785968,0.0017,0.6671,0.3122,0.0207,604242,0.5136,0.4864,0.1322,0.09,0.2535,0.0145,0.0022,
"8",786905,0.0028,0.752,0.2263,0.0216,623435,0.5237,0.4763,0.1778,0.1434,0.1458,0.019,0.0023,
"9",784219,-0.0006,0.5037,0.481,0.0153,618876,0.6542,0.3458,0.0646,0.2226,0.0435,0.0176,0.0013,
"10",783888,-0.001,0.4917,0.4906,0.0176,587124,0.6658,0.3342,0.1163,0.0707,0.1326,0.0173,0.0017,
"11",787038,0.003,0.5199,0.4634,0.0167,587455,0.5315,0.4685,0.1902,0.1774,0.0891,0.0234,0.0025,
"",784672,0.0069,0.5277,0.4555,0.0168,613187,0.6133,0.3867,0.0911,0.1988,0.0823,0.0195,0.0022,
