ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",736666,-0.0001,0.5124,0.4776,0.0101,570063,0.746,0.254,0.0849,0.1144,0.0372,0.017,0.0012,
"2",736775,0.0001,0.6403,0.3502,0.0095,587302,0.8214,0.1786,0.0714,0.044,0.0435,0.0162,0.0011,
"3",737629,0.0012,0.5254,0.4655,0.0091,572482,0.8874,0.1126,0.037,0.0263,0.0264,0.0176,0.0011,
"4",736771,0.0001,0.711,0.2784,0.0106,564785,0.5157,0.4843,0.1608,0.2638,0.0488,0.0228,0.0014,
"5",737289,0.0008,0.362,0.6296,0.0084,578890,0.8906,0.1094,0.042,0.021,0.0277,0.0131,0.0009,
"6",735549,-0.0016,0.3767,0.6143,0.0089,584889,0.9099,0.0901,0.0242,0.009,0.0188,0.0318,0.0009,
"7",736978,0.0004,0.4574,0.532,0.0106,580830,0.9094,0.0906,0.0226,0.0142,0.0213,0.0253,0.001,
"8",736061,-0.0009,0.4603,0.5291,0.0106,573059,0.8574,0.1426,0.0527,0.0271,0.0312,0.0291,0.0011,
"",736715,0.0028,0.4984,0.4919,0.0097,576538,0.8183,0.1817,0.0616,0.0642,0.0318,0.0216,0.0011,
